Period, CPUAvg, person,concept,obs,encounter,
From 160203 To 160233,61.77,419,17,10,9,
From 160273 To 160303,16.63,123,2,4,5,
From 160303 To 160333,17.83,103,4,0,3,
From 160373 To 160403,22.1,107,6,6,4,
From 160403 To 160433,51.8,366,13,7,6,
From 160474 To 160504,37.83,204,8,8,7,
From 160504 To 160534,33.67,184,9,4,2,
From 160574 To 160604,34.83,220,3,7,7,
From 160604 To 160634,46.9,305,10,10,8,
From 160674 To 160704,35.67,199,6,7,5,
From 160704 To 160734,59.37,465,11,11,12,
From 160775 To 160805,46.37,244,9,8,5,
From 160805 To 160835,57.5,418,12,8,11,
From 160875 To 160905,57.67,308,8,10,19,
From 160905 To 160935,80.4,512,16,13,14,
From 160975 To 161005,68.6,352,8,8,5,
From 161006 To 161036,62.57,446,16,8,12,
From 161076 To 161106,54.17,309,7,11,5,
From 161106 To 161136,63.57,433,8,11,12,
From 161176 To 161206,43.27,214,4,10,9,
From 161206 To 161236,41.4,188,2,6,1,
From 161277 To 161307,53.37,299,6,10,10,
From 161307 To 161337,25.23,111,3,7,3,
From 161377 To 161407,27.33,145,6,4,3,
From 161407 To 161437,43.03,263,8,8,5,
From 161478 To 161508,40.43,202,2,13,7,
From 161508 To 161538,52.6,310,9,10,5,
From 161578 To 161608,34.4,189,4,7,6,
From 161608 To 161638,52.37,315,7,11,8,
From 161679 To 161709,49.0,290,6,5,7,
From 161709 To 161739,47.3,301,7,9,11,
From 161779 To 161809,50.47,297,4,8,8,
From 161809 To 161839,39.83,211,9,9,4,
From 161879 To 161909,34.07,198,1,4,7,
From 161909 To 161939,18.33,120,5,4,3,
From 161980 To 162010,42.67,140,4,3,5,
From 162010 To 162040,67.23,453,16,17,17,
From 162080 To 162110,35.97,252,7,7,9,
From 162110 To 162140,26.23,119,6,3,6,
From 162180 To 162210,41.77,297,6,7,8,
From 162211 To 162241,45.0,194,3,8,7,
From 162281 To 162311,65.0,472,14,12,13,
From 162311 To 162341,66.07,364,7,8,7,
From 162381 To 162411,61.07,399,13,6,9,
From 162411 To 162441,51.83,286,9,8,13,
From 162482 To 162512,63.3,413,13,12,7,
From 162512 To 162542,55.77,360,10,9,9,
From 162582 To 162612,55.17,344,10,8,11,
From 162612 To 162642,50.37,311,8,11,4,
From 162683 To 162713,34.77,283,8,6,11,
From 162713 To 162743,37.43,230,15,4,7,
From 162783 To 162813,47.73,343,14,9,6,
From 162813 To 162843,51.93,298,11,6,6,
From 162883 To 162913,34.1,177,3,8,2,
From 162914 To 162944,34.1,199,5,3,3,
From 162984 To 163014,17.4,124,3,3,2,
From 163014 To 163044,35.87,209,8,9,7,
From 163084 To 163114,52.9,312,10,8,7,
From 163114 To 163144,60.5,441,10,16,18,
From 163185 To 163215,61.77,427,15,17,10,
From 163215 To 163245,57.57,369,11,5,13,
From 163285 To 163315,45.2,314,11,4,13,
From 163315 To 163345,50.33,303,8,14,13,
