Period, CPUAvg, person,obs,encounter,concept,
From 203390 To 203420,49.37,278,10,13,11,
From 203420 To 203450,58.87,290,7,9,3,
From 203490 To 203520,62.47,303,7,9,10,
From 203520 To 203550,51.27,278,9,9,9,
From 203590 To 203620,63.87,316,15,13,4,
From 203620 To 203650,50.13,264,6,9,9,
From 203690 To 203720,66.63,339,4,11,7,
From 203720 To 203750,53.7,284,10,9,5,
From 203790 To 203820,59.57,322,10,13,9,
From 203820 To 203850,50.77,261,8,9,3,
From 203891 To 203921,59.7,336,15,6,9,
From 203921 To 203951,75.67,359,9,8,10,
From 203991 To 204021,50.03,269,12,11,3,
From 204021 To 204051,52.2,288,9,10,10,
From 204091 To 204121,69.23,326,6,14,10,
From 204121 To 204151,56.1,261,8,2,9,
From 204191 To 204221,54.6,284,9,10,9,
From 204221 To 204251,62.73,311,6,8,11,
From 204291 To 204321,61.27,313,8,8,7,
From 204322 To 204352,61.33,309,8,9,6,
From 204392 To 204422,50.97,268,9,7,10,
From 204422 To 204452,61.33,344,8,15,12,
From 204492 To 204522,58.87,287,7,6,10,
From 204522 To 204552,44.3,246,7,9,10,
From 204592 To 204622,57.77,328,9,8,12,
From 204622 To 204652,55.53,313,11,7,13,
From 204692 To 204722,47.77,256,9,10,7,
From 204722 To 204752,56.83,298,6,10,10,
From 204792 To 204822,58.83,314,7,12,9,
From 204823 To 204853,64.73,346,10,10,8,
From 204893 To 204923,54.2,262,1,9,9,
From 204923 To 204953,59.73,283,7,10,7,
From 204993 To 205023,64.17,327,13,7,9,
From 205023 To 205053,56.8,281,8,10,6,
From 205093 To 205123,59.7,312,7,6,10,
From 205123 To 205153,54.57,290,10,6,11,
From 205193 To 205223,54.87,299,8,7,12,
From 205223 To 205253,57.37,309,13,9,8,
From 205293 To 205323,58.43,301,5,11,8,
From 205324 To 205354,61.57,303,10,5,7,
From 205394 To 205424,58.7,285,16,6,6,
From 205424 To 205454,64.53,335,8,7,9,
From 205494 To 205524,58.37,293,13,4,9,
From 205524 To 205554,64.87,302,5,11,9,
From 205594 To 205624,67.0,334,13,4,11,
From 205624 To 205654,46.6,243,9,10,4,
From 205694 To 205724,63.8,342,8,13,9,
From 205724 To 205754,63.83,322,6,10,9,
From 205794 To 205824,58.0,304,4,10,9,
From 205825 To 205855,60.57,317,10,9,9,
From 205895 To 205925,55.97,276,12,7,5,
From 205925 To 205955,55.97,299,9,12,5,
From 209995 To 210025,66.7,323,9,9,4,
From 210025 To 210055,59.57,320,7,10,8,
From 210095 To 210125,60.33,340,11,8,10,
From 210125 To 210155,53.3,269,7,6,11,
From 210195 To 210225,63.53,307,5,4,11,
From 210225 To 210255,58.6,323,6,12,16,
From 210295 To 210325,62.93,315,12,7,4,
From 210326 To 210356,54.5,279,6,6,9,
From 210396 To 210426,54.7,283,11,7,11,
From 210426 To 210456,67.53,356,7,10,16,
From 210496 To 210526,48.0,249,9,4,7,
