Period, CPUAvg, person,concept,obs,encounter,
From 174301 To 174331,134.13,2288,71,60,71,
From 174371 To 174401,129.03,2237,71,59,55,
From 174401 To 174431,133.3,2301,63,80,69,
From 174471 To 174501,126.17,2274,60,65,62,
From 174502 To 174532,126.17,2331,52,78,74,
From 174572 To 174602,133.13,2277,73,69,64,
From 174602 To 174632,126.63,2290,57,59,68,
From 174672 To 174702,126.43,2253,61,64,59,
From 174702 To 174732,133.57,2242,59,62,66,
From 174772 To 174802,126.1,2269,62,62,72,
From 174802 To 174832,125.77,2252,75,65,49,
From 174872 To 174902,131.97,2273,58,57,67,
From 174902 To 174932,126.9,2259,67,70,57,
From 174972 To 175002,132.87,2254,68,63,69,
From 175002 To 175032,126.33,2280,67,61,64,
From 175072 To 175102,127.9,2251,65,66,46,
From 175103 To 175133,132.73,2315,58,60,65,
From 175173 To 175203,129.2,2277,74,65,57,
From 175203 To 175233,126.07,2281,57,68,66,
From 175273 To 175303,134.57,2292,65,68,64,
From 175303 To 175333,124.73,2203,74,70,53,
From 175373 To 175403,126.93,2281,73,56,79,
From 175403 To 175433,130.83,2248,72,68,60,
From 175473 To 175503,124.9,2251,61,75,63,
From 175503 To 175533,130.73,2201,58,65,64,
From 175573 To 175603,126.33,2264,54,63,69,
From 175603 To 175633,125.7,2290,72,59,65,
From 175673 To 175703,134.27,2254,73,70,54,
From 175703 To 175733,126.23,2220,68,67,59,
From 175774 To 175804,131.33,2333,76,70,70,
From 175804 To 175834,124.9,2260,68,67,65,
From 175874 To 175904,128.47,2221,66,55,63,
From 175904 To 175934,131.67,2210,61,57,60,
From 179974 To 180004,125.97,2286,67,75,65,
From 180004 To 180034,127.07,2254,65,74,54,
From 180074 To 180104,136.5,2207,63,56,52,
From 180104 To 180134,127.9,2219,55,65,63,
From 180174 To 180204,127.87,2259,68,61,66,
From 180204 To 180234,133.6,2237,69,57,59,
From 180274 To 180304,127.2,2187,69,53,68,
From 180304 To 180334,133.6,2240,66,54,70,
From 180374 To 180404,130.43,2224,75,59,54,
From 180405 To 180435,128.53,2303,58,56,69,
From 180475 To 180505,134.13,2210,56,63,74,
From 180505 To 180535,129.07,2215,65,62,56,
From 180575 To 180605,128.63,2263,68,53,63,
From 180605 To 180635,131.97,2252,74,73,65,
From 180675 To 180705,128.37,2183,81,50,48,
From 180705 To 180735,132.23,2184,58,55,69,
From 180775 To 180805,128.37,2264,60,63,65,
From 180805 To 180835,128.97,2258,59,60,80,
From 180875 To 180905,132.63,2176,62,54,67,
From 180905 To 180935,125.7,2206,56,52,68,
From 180975 To 181005,125.43,2237,60,69,58,
From 181005 To 181035,134.43,2251,57,66,67,
From 181075 To 181105,125.7,2202,64,69,71,
From 181106 To 181136,125.47,2301,71,64,64,
From 181176 To 181206,132.5,2239,68,67,60,
From 181206 To 181236,128.3,2236,52,65,79,
From 181276 To 181306,129.63,2182,59,55,74,
From 181306 To 181336,124.37,2184,64,62,59,
From 181376 To 181406,127.27,2214,56,73,63,
From 181406 To 181436,132.17,2214,68,67,63,
From 181476 To 181506,124.7,2181,54,78,62,
From 181506 To 181536,123.67,2207,57,75,58,
From 181576 To 181606,130.6,2198,54,83,64,
From 181606 To 181636,125.2,2186,51,65,65,
From 181676 To 181706,129.67,2198,65,72,71,
From 181706 To 181736,124.83,2192,62,53,59,
From 181776 To 181806,124.67,2219,58,61,77,
From 181807 To 181837,129.4,2257,62,72,67,
From 181877 To 181907,122.2,2136,45,55,63,
From 181907 To 181937,124.13,2193,57,70,71,
From 181977 To 182007,129.9,2175,69,60,61,
From 182007 To 182037,125.3,2205,69,56,70,
From 182077 To 182107,124.43,2166,56,65,68,
From 182107 To 182137,129.77,2193,62,72,68,
From 182177 To 182207,123.7,2195,69,64,62,
From 182207 To 182237,130.6,2175,55,67,63,
From 182277 To 182307,128.03,2174,62,56,65,
From 182307 To 182337,124.23,2193,64,61,70,
From 182377 To 182407,127.53,2169,54,68,55,
From 182407 To 182437,125.23,2208,65,54,67,
From 182477 To 182507,125.17,2154,68,56,61,
From 182508 To 182538,131.23,2262,69,66,69,
From 182578 To 182608,126.77,2192,60,61,61,
From 182608 To 182638,133.4,2163,56,58,67,
From 182678 To 182708,126.13,2144,63,62,58,
From 182708 To 182738,125.7,2210,69,59,79,
From 182778 To 182808,131.83,2172,61,54,65,
From 182808 To 182838,125.53,2147,67,59,55,
From 182878 To 182908,132.33,2136,76,54,54,
From 182908 To 182938,125.67,2172,62,60,65,
From 182978 To 183008,128.27,2179,75,54,61,
From 183008 To 183038,132.23,2162,76,62,57,
From 183078 To 183108,125.53,2125,54,50,67,
From 183108 To 183138,132.43,2160,69,49,63,
From 183178 To 183208,126.2,2153,69,60,51,
From 183208 To 183238,122.0,2141,62,67,63,
From 183278 To 183308,132.0,2149,75,68,64,
From 183309 To 183339,125.27,2220,63,74,53,
From 183379 To 183409,132.1,2172,68,57,68,
From 183409 To 183439,126.63,2141,62,68,52,
From 183479 To 183509,126.77,2136,59,59,68,
From 183509 To 183539,131.67,2161,64,56,70,
From 183579 To 183609,128.6,2164,62,59,57,
From 183609 To 183639,132.1,2122,62,50,65,
From 183679 To 183709,124.57,2111,52,52,69,
From 183709 To 183739,125.47,2145,61,59,64,
From 183779 To 183809,131.3,2168,62,62,67,
From 183809 To 183839,126.63,2174,70,59,65,
From 183879 To 183909,125.53,2133,64,62,64,
From 183909 To 183939,131.37,2107,53,62,67,
From 183979 To 184009,127.47,2166,57,69,65,
From 184009 To 184039,133.0,2138,58,59,68,
From 184080 To 184110,125.67,2165,52,58,61,
From 184110 To 184140,126.47,2115,57,65,62,
From 184180 To 184210,130.8,2135,57,50,74,
From 184210 To 184240,127.3,2166,63,72,54,
From 184280 To 184310,130.8,2070,57,68,49,
From 184310 To 184340,125.6,2108,61,69,58,
From 184380 To 184410,125.67,2137,64,66,57,
From 184410 To 184440,133.2,2132,65,54,52,
From 184480 To 184510,124.97,2116,53,63,72,
From 184510 To 184540,124.6,2096,56,66,69,
From 184580 To 184610,131.2,2167,72,62,61,
From 184610 To 184640,127.4,2136,67,55,67,
From 184680 To 184710,131.07,2097,68,56,73,
From 184710 To 184740,124.27,2093,70,64,55,
From 184780 To 184810,131.37,2121,54,67,55,
From 184811 To 184841,125.43,2203,55,63,69,
From 184881 To 184911,125.77,2056,52,53,59,
From 184911 To 184941,130.7,2100,58,65,58,
From 184981 To 185011,125.37,2123,66,60,60,
From 185011 To 185041,123.1,2150,57,73,78,
From 185081 To 185111,132.0,2066,68,65,50,
From 185111 To 185141,126.37,2056,60,49,43,
From 185181 To 185211,132.43,2097,56,48,67,
From 185211 To 185241,126.5,2133,63,62,53,
From 185281 To 185311,132.17,2095,72,66,49,
From 185311 To 185341,124.3,2093,56,56,73,
From 185381 To 185411,126.9,2074,58,63,51,
From 185411 To 185441,132.63,2114,54,71,55,
From 185481 To 185511,126.3,2120,62,50,57,
From 185511 To 185541,132.17,2073,62,73,65,
From 185581 To 185611,124.33,2115,65,59,64,
From 185612 To 185642,126.23,2171,50,60,70,
From 185682 To 185712,132.4,2125,60,62,61,
From 185712 To 185742,126.13,2059,58,57,61,
From 185782 To 185812,130.63,2107,57,60,63,
