Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528440089 to 1528440118,81.23,4824,61,4037,61,146617,17963,17963,17963,3240,767,1396,87484,17963,142372,2444,61,88,61,1,2804722,17963,4625,142372,579,5,1396,1396,2412,5047,17963,51600,1396,183,2412,0,2280646,1396,2771518,51600,17963,80753,82149,1396,299,17963,104,3240,1396,4646,266,1396,61,61,146,299,61,17963,140976,122,2397,61,2412,579,1396,38,61,4824,1396,1396,66,55107,1,1396,767,1396,1396,17963,34900,1396,146617,17963,34900,592512,1396,19296,18049,101203,579,17963,1276,122,1396,1396,17963,427,2761,2792,1396,55105,17963,80753,30695,521,36048,140976,1396,2052,61,2325,19296,4589,17963,61,88,61,2412,427,17963,7370,17963,8770,2761,61,80753,1066,7058,61,1396,55107,244,384,18535,146617,1396,136,80753,767,1396,266,61,61,2761,1396,1396,4037,14472,142372
From 1528440119 to 1528440148,66.2,3752,36,2969,36,85048,10883,10883,10883,2526,574,828,55627,10883,81805,2047,36,44,36,0,1608590,10883,2853,81805,483,5,828,828,1876,3639,10883,39162,828,108,1876,0,1658011,828,1583214,39162,10883,51859,52687,828,245,10883,62,2526,828,3336,214,828,36,36,130,245,43,10883,80977,72,1386,36,1876,483,828,32,36,3752,828,828,48,41395,1,828,574,828,828,10883,20700,828,85048,10883,20700,445906,828,15008,13550,67545,483,10883,1048,72,828,828,10883,353,2120,1656,828,41393,10883,51859,23849,318,28080,80977,828,1244,36,1438,15008,2808,10883,36,44,36,1876,353,10883,5035,10883,6814,2120,36,51859,819,5212,36,828,41395,144,345,11333,85048,828,88,51859,574,828,214,36,43,2120,828,828,2969,11256,81805
From 1528440149 to 1528440178,98.9,7020,58,5463,58,183455,26267,26267,26267,4733,1164,1681,100219,26267,178348,3284,58,80,58,0,3409445,26267,5319,178348,776,5,1681,1681,3510,6909,26267,64273,1681,174,3510,0,2772776,1681,3367989,64273,26267,92191,93872,1681,406,26267,111,4733,1681,6164,334,1681,58,58,198,406,74,26267,176667,116,2865,58,3510,776,1681,46,58,7020,1681,1681,79,68329,1,1681,1164,1681,1681,26267,42025,1681,183455,26267,42025,707643,1681,28080,22395,117570,776,26267,1678,116,1681,1681,26267,554,4094,3362,1681,68327,26267,92191,45451,578,53400,176667,1681,2403,58,2684,28080,5242,26267,58,80,58,3510,554,26267,9295,26267,12986,4094,58,92191,1570,9674,58,1681,68329,232,540,27019,183455,1681,147,92191,1164,1681,334,58,74,4094,1681,1681,5463,21060,178348
From 1528440179 to 1528440208,93.67,6292,46,5275,46,178855,13675,13675,13675,4098,752,2142,91698,13675,174347,4575,46,64,46,0,3387676,13675,4734,174347,1080,5,2142,2142,3146,6678,13675,54386,2142,138,3146,0,2467199,2142,3352625,54386,13675,82996,85138,2142,562,13675,115,4098,2142,5895,452,2142,46,46,244,562,64,13675,172205,92,2890,46,3146,1080,2142,74,46,6292,2142,2142,69,58249,1,2142,752,2142,2142,13675,53550,2142,178855,13675,53550,622993,2142,25168,18984,104612,1080,13675,2272,92,2142,2142,13675,707,3164,4284,2142,58247,13675,82996,38017,510,45120,172205,2142,2802,46,2391,25168,4680,13675,46,64,46,3146,707,13675,8690,13675,10862,3164,46,82996,1314,9041,46,2142,58249,184,765,14666,178855,2142,123,82996,752,2142,452,46,64,3164,2142,2142,5275,18876,174347
From 1528440209 to 1528440239,66.07,4278,32,3091,32,93693,16575,16575,16575,2980,819,711,54241,16575,90246,1408,32,36,32,0,1766761,16575,2852,90246,332,5,711,711,2139,3964,16575,39572,711,96,2139,0,1743222,711,1741115,39572,16575,50218,50929,711,169,16575,56,2980,711,3460,142,711,32,32,88,169,40,16575,89535,64,1520,32,2139,332,711,24,32,4278,711,711,45,41685,1,711,819,711,711,16575,17775,711,93693,16575,17775,463587,711,17112,13702,66247,332,16575,710,64,711,711,16575,244,2504,1422,711,41683,16575,50218,28140,315,32824,89535,711,1121,32,1445,17112,2813,16575,32,36,32,2139,244,16575,5153,16575,8040,2504,32,50218,988,5599,32,711,41685,128,240,16889,93693,711,85,50218,819,711,142,32,40,2504,711,711,3091,12834,90246
From 1528440240 to 1528440269,99.63,7762,56,6023,56,201055,24119,24119,24119,5245,1214,1878,92301,24119,198259,4075,56,72,56,0,3813060,24119,5152,198259,961,5,1878,1878,3881,7567,24119,37203,1878,168,3881,0,1827818,1878,3789616,37203,24119,83672,85551,1878,492,24119,114,5245,1878,6723,422,1878,56,56,242,492,70,24119,196381,112,2928,56,3881,961,1878,54,56,7762,1878,1878,77,41246,1,1878,1214,1878,1878,24119,46950,1878,201055,24119,46950,376689,1878,31048,13377,97727,961,24119,2070,112,1878,1878,24119,684,4335,3756,1878,41244,24119,83673,49875,536,58800,196381,1878,2558,56,2589,31048,5042,24119,56,72,56,3881,684,24119,9696,24119,14250,4335,56,83673,1706,10604,56,1878,41246,224,693,25072,201055,1878,103,83673,1214,1878,422,56,70,4335,1878,1878,6023,23286,198259
From 1528440270 to 1528440299,91.43,7116,68,5780,68,181377,27643,27643,27643,4687,1033,2257,106835,27643,178863,4194,68,100,68,1,3491704,27643,5523,178864,988,5,2257,2257,3558,7454,27643,35651,2257,204,3558,0,1636659,2257,3469382,35651,27643,98366,100622,2257,504,27643,138,4687,2257,6520,420,2257,68,68,230,504,80,27643,176606,136,2771,68,3558,988,2257,64,68,7116,2257,2257,85,39837,1,2257,1033,2257,2257,27643,56425,2257,181377,27643,56425,327368,2257,28464,12899,111534,988,27643,2078,136,2257,2257,27643,673,4148,4514,2257,39835,27643,98365,44716,555,52792,176606,2257,3028,68,2779,28464,5390,27643,68,100,68,3558,673,27643,9732,27643,12776,4148,68,98365,1537,10078,68,2257,39837,272,726,28630,181377,2257,119,98366,1033,2257,420,68,80,4148,2257,2257,5780,21348,178863
From 1528440300 to 1528440329,58.27,1352,26,1367,26,59378,4897,4897,4897,854,128,672,41623,4897,54169,1161,26,28,26,0,1134819,4897,2018,54169,275,5,672,672,676,1733,4897,55216,672,78,676,0,2380776,672,1098498,55216,4897,39093,39765,672,145,4897,47,854,672,1605,120,672,26,26,80,145,26,4897,53497,52,961,26,676,275,672,18,26,1352,672,672,31,56872,1,672,128,672,672,4897,16800,672,59378,4897,16800,732068,672,5408,18727,62315,275,4897,610,52,672,672,4897,204,780,1344,672,56870,4897,39093,8113,282,9680,53497,672,975,26,1029,5408,2060,4897,26,28,26,676,204,4897,2868,4897,2318,780,26,39093,273,2281,26,672,56872,104,183,5179,59378,672,103,39093,128,672,120,26,26,780,672,672,1367,4056,54169
From 1528440330 to 1528440359,38.6,1052,9,817,9,39764,4744,4744,4744,747,203,137,18739,4744,39162,345,9,16,9,0,737246,4744,1005,39162,80,5,137,137,526,992,4744,7425,137,27,526,0,363846,137,732539,7425,4744,17336,17473,137,40,4744,13,747,137,951,26,137,9,9,14,40,20,4744,39025,18,567,9,526,80,137,4,9,1052,137,137,24,8130,1,137,203,137,137,4744,3425,137,39764,4744,3425,78911,137,4208,2648,20190,80,4744,146,18,137,137,4744,44,697,274,137,8128,4744,17336,7217,123,8488,39025,137,272,9,504,4208,940,4744,9,16,9,526,44,4744,1528,4744,2062,697,9,17336,243,1477,9,137,8130,36,75,4833,39764,137,22,17336,203,137,26,9,20,697,137,137,817,3156,39162
From 1528440360 to 1528440389,48.53,3220,21,2404,21,66909,10745,10745,10745,2217,581,572,35491,10745,65140,1280,21,20,21,0,1240983,10745,2115,65140,300,5,572,572,1610,2960,10745,21850,572,63,1610,0,973965,572,1226992,21850,10745,32506,33078,572,148,10745,38,2217,572,2689,126,572,21,21,58,148,23,10745,64568,42,1069,21,1610,300,572,18,21,3220,572,572,29,23421,1,572,581,572,572,10745,14300,572,66909,10745,14300,239121,572,12880,7693,41094,300,10745,606,42,572,572,10745,193,1825,1144,572,23419,10745,32506,21224,223,24872,64568,572,862,21,1069,12880,2096,10745,21,20,21,1610,193,10745,3912,10745,6064,1825,21,32506,729,4299,21,572,23421,84,240,11043,66909,572,45,32506,581,572,126,21,23,1825,572,572,2404,9660,65140
From 1528440390 to 1528440420,49.0,1728,19,1621,19,62883,4943,4943,4943,1114,183,561,36636,4943,61353,1409,19,32,19,0,1197742,4943,1903,61353,332,10,561,561,864,1843,4943,18365,561,57,864,0,836026,561,1185975,18365,4943,33964,34525,561,166,4943,37,1114,561,1868,148,561,19,19,96,166,25,4943,60792,38,956,19,864,332,561,22,19,1728,561,561,35,19887,2,561,183,561,561,4943,14025,561,62883,4943,14025,211023,561,6912,6459,41204,332,4943,724,38,561,561,4943,248,948,1122,561,19883,4943,33964,10458,230,12464,60792,561,824,19,961,6912,1858,4943,19,32,19,864,248,4943,2977,4943,2988,948,19,33964,349,2732,19,561,19887,76,243,5258,62883,561,49,33964,183,561,148,19,25,948,561,561,1621,5184,61353
From 1528440421 to 1528440450,55.0,2636,11,2431,11,78812,5195,5195,5195,1643,161,1468,36388,5195,76500,2741,11,16,11,0,1401777,5195,2119,76500,650,5,1468,1468,1318,3303,5195,30127,1468,33,1318,0,1195360,1468,1382256,30127,5195,32185,33653,1468,346,5195,55,1643,1468,2711,286,1468,11,11,164,346,28,5195,75032,22,1220,11,1318,650,1468,40,11,2636,1468,1468,33,32019,1,1468,161,1468,1468,5195,36700,1468,78812,5195,36700,314299,1468,10544,10432,44088,650,5195,1428,22,1468,1468,5195,454,1392,2936,1468,32017,5195,32185,15050,226,18040,75032,1468,1732,11,1061,10544,2096,5195,11,16,11,1318,454,5195,3951,5195,4300,1392,11,32185,507,4029,11,1468,32019,44,423,5847,78812,1468,54,32185,161,1468,286,11,28,1392,1468,1468,2431,7908,76500
From 1528440451 to 1528440480,70.07,3474,36,3115,36,123346,12108,12108,12108,2262,455,1254,56370,12108,121794,2299,36,48,36,0,2311395,12108,3510,121793,544,5,1254,1254,1737,3789,12108,20809,1254,108,1737,0,1005774,1254,2298488,20809,12108,50874,52128,1254,283,12108,75,2262,1254,3603,244,1254,36,36,132,283,42,12108,120540,72,1826,36,1737,544,1254,32,36,3474,1254,1254,47,23486,1,1254,455,1254,1254,12108,31350,1254,123346,12108,31350,205711,1254,13896,7639,58575,544,12108,1186,72,1254,1254,12108,386,1914,2508,1254,23484,12108,50874,21231,373,25088,120540,1254,1680,36,1763,13896,3444,12108,36,48,36,1737,386,12108,5598,12108,6066,1914,36,50874,738,5340,36,1254,23486,144,369,12671,123346,1254,63,50874,455,1254,244,36,42,1914,1254,1254,3115,10422,121794
From 1528440481 to 1528440510,69.17,3640,27,2825,27,87836,14344,14344,14344,2456,592,720,62931,14344,83194,1798,27,36,27,0,1637212,14344,2911,83194,423,5,720,720,1820,3493,14344,50672,720,81,1820,0,2237824,643,1604137,50672,14344,59325,60045,720,213,14344,48,2456,720,3182,184,720,27,27,101,213,46,14344,82474,54,1422,27,1820,423,720,24,27,3640,720,720,51,52875,1,720,592,720,643,14344,17999,720,87836,14344,17999,635570,720,14560,17361,80240,423,14344,894,54,720,720,14344,296,2086,1439,720,52873,14344,59325,23569,315,27760,82474,719,1192,27,1490,14560,2866,14344,27,36,27,1820,296,14344,4960,14344,6734,2086,27,59325,805,5002,27,720,52875,108,318,14719,87836,720,96,59325,592,720,184,27,46,2086,720,720,2825,10920,83194
From 1528440511 to 1528440540,87.47,5010,55,4021,55,144449,19088,19088,19088,3402,849,1376,78123,19088,138941,2268,55,64,55,0,2683323,19088,4352,138941,535,5,1376,1376,2505,5183,19088,69278,1376,165,2505,1,2768392,1376,2638270,69278,19088,71555,72931,1376,270,19088,97,3402,1376,4590,244,1376,55,55,116,270,58,19088,137565,110,2366,55,2505,535,1376,30,55,5010,1376,1376,63,72625,1,1376,850,1376,1376,19088,34400,1376,144449,19088,34400,757769,1376,20040,23884,99244,535,19088,1144,110,1376,1376,19088,378,2872,2752,1376,72623,19088,71555,32305,519,37888,137565,1376,1943,55,2188,20040,4332,19088,55,64,55,2505,378,19088,7168,19088,9230,2872,55,71555,1120,7095,55,1376,72625,220,384,19648,144449,1376,145,71555,849,1376,244,55,58,2872,1376,1376,4021,15030,138941
From 1528440541 to 1528440571,105.67,6590,61,5645,61,196608,24220,24220,24220,4315,830,1971,116307,24220,190110,4591,61,76,61,1,3691568,24220,5890,190110,1081,5,1971,1971,3295,6856,24220,75720,1971,183,3296,0,3336043,1971,3642590,75720,24220,107919,109890,1971,554,24220,123,4315,1971,6405,452,1971,61,61,264,554,84,24220,188139,122,2982,61,3295,1081,1971,72,61,6590,1971,1971,89,80325,1,1971,830,1971,1971,24220,49275,1971,196608,24220,49275,889213,1971,26361,26278,138389,1081,24220,2276,122,1971,1971,24220,736,3882,3942,1971,80323,24220,107919,40894,621,48560,188139,1971,2834,61,2983,26361,5820,24220,61,76,61,3295,736,24220,9916,24220,11684,3882,61,107919,1384,9700,61,1971,80325,244,795,25343,196608,1971,165,107919,830,1971,451,61,84,3882,1971,1971,5645,19770,190110
From 1528440572 to 1528440601,61.57,2292,39,2074,39,90375,9615,9615,9615,1518,321,595,54388,9615,87932,1426,39,48,39,0,1748477,9615,2684,87932,335,5,595,595,1146,2383,9615,33269,595,117,1145,0,1316615,595,1726980,33270,9615,50885,51480,595,169,9615,58,1518,595,2429,134,595,39,39,84,169,40,9615,87337,78,1353,39,1146,335,595,22,39,2292,595,595,45,35258,1,595,321,595,595,9615,14875,595,90375,9615,14875,340129,595,9167,11562,63832,335,9615,690,78,595,595,9615,226,1356,1190,595,35256,9615,50885,14490,315,17160,87337,595,967,39,1363,9167,2621,9615,39,48,39,1146,226,9615,4006,9615,4140,1356,39,50885,490,3575,39,595,35258,156,264,9871,90375,595,80,50885,321,595,135,39,40,1356,595,595,2074,6876,87932
From 1528440602 to 1528440631,79.8,3666,34,3126,34,117972,17859,17859,17859,2440,577,1214,67566,17859,112913,1961,34,52,34,0,2214574,17859,3786,112913,460,5,1214,1214,1833,3990,17859,57447,1214,102,1834,0,2535055,1214,2177274,57447,17859,62240,63454,1214,219,17859,70,2440,1214,3612,220,1214,34,34,122,219,49,17859,111699,68,1894,34,1833,460,1214,24,34,3666,1214,1214,54,60341,1,1214,577,1214,1214,17859,30350,1214,117972,17859,30350,714544,1214,14665,19842,85650,460,17859,1000,68,1214,1214,17859,357,2341,2428,1214,60339,17859,62240,23282,422,27464,111699,1214,1736,34,1906,14665,3768,17859,34,52,34,1833,357,17859,5865,17859,6652,2341,34,62240,796,5445,34,1214,60341,136,357,18374,117972,1214,120,62240,577,1214,220,34,49,2341,1214,1214,3126,10998,112913
From 1528440632 to 1528440661,109.8,7148,42,5959,42,215143,24233,24233,24233,4677,961,2468,105398,24233,209737,4698,42,64,42,0,4049688,24233,5733,209737,1105,5,2468,2468,3574,7667,24233,68391,2468,126,3573,0,2958223,2468,4005573,68391,24233,95661,98129,2468,547,24233,118,4677,2468,6719,484,2468,42,42,286,547,77,24233,207269,84,3243,42,3574,1105,2468,72,42,7148,2468,2468,82,73015,1,2468,961,2468,2468,24233,61700,2468,215143,24233,61700,748179,2468,28591,23855,122624,1105,24233,2348,84,2468,2468,24233,790,4177,4936,2468,73013,24233,95661,44604,616,52872,207269,2468,3217,42,2899,28591,5647,24233,42,64,42,3574,790,24233,10080,24233,12744,4177,42,95661,1508,10293,42,2468,73015,168,840,25299,215143,2468,142,95661,961,2468,484,42,77,4177,2468,2468,5959,21444,209737
From 1528440662 to 1528440691,57.8,2384,33,2286,33,76564,6260,6260,6260,1501,195,964,46387,6260,74756,2209,33,32,33,0,1460006,6260,2534,74756,523,5,964,964,1192,2696,6260,19970,964,99,1192,0,983155,964,1447346,19970,6260,42671,43635,964,279,6260,64,1501,964,2623,218,964,33,33,126,279,36,6260,73792,66,1234,33,1192,523,964,36,33,2384,964,964,41,21960,1,964,195,964,964,6260,24100,964,76564,6260,24100,243114,964,9536,7121,50575,523,6260,1120,66,964,964,6260,349,1313,1928,964,21958,6260,42671,13923,267,16648,73792,964,1344,33,1275,9536,2477,6260,33,32,33,1192,349,6260,4099,6260,3978,1313,33,42671,474,3815,33,964,21960,132,351,6756,76564,964,50,42671,195,964,218,33,36,1313,964,964,2286,7152,74756
From 1528440692 to 1528440721,90.7,4886,70,4661,70,164209,10207,10207,10207,3062,407,2243,83104,10207,161188,4565,70,80,70,0,3084099,10207,4817,161188,1079,5,2243,2243,2443,5707,10207,44117,2243,210,2443,0,1752226,2243,3055977,44117,10207,74800,77043,2243,550,10207,140,3062,2243,5317,492,2243,70,70,252,550,65,10207,158945,140,2650,70,2443,1079,2243,68,70,4886,2243,2243,65,48125,1,2243,407,2243,2243,10207,56075,2243,164209,10207,56075,408915,2243,19544,15629,91477,1079,10207,2336,140,2243,2243,10207,752,2527,4486,2243,48123,10207,74800,28266,552,33808,158945,2243,2825,70,2404,19544,4766,10207,70,80,70,2443,752,10207,8098,10207,8076,2527,70,74800,957,7760,70,2243,48125,280,747,11207,164209,2243,118,74800,407,2243,492,70,65,2527,2243,2243,4661,14658,161188
From 1528440722 to 1528440752,109.97,6394,70,5353,70,198002,23989,23989,23989,4238,977,1906,123925,23989,189662,3550,70,88,70,0,3762892,23989,6102,189662,834,5,1906,1906,3197,6747,23989,92947,1906,210,3197,0,4184895,1906,3702434,92947,23989,115436,117342,1906,409,23989,131,4238,1906,6130,366,1906,70,70,220,409,88,23989,187756,140,3103,70,3197,834,1906,56,70,6394,1906,1906,93,97658,1,1906,977,1906,1906,23989,47650,1906,198002,23989,47650,1170177,1906,25576,32040,153468,834,23989,1770,140,1906,1906,23989,606,3679,3812,1906,97656,23989,115436,40327,711,47576,187756,1906,2784,70,3108,25576,6037,23989,70,88,70,3197,606,23989,9796,23989,11522,3679,70,115436,1386,9327,70,1906,97658,280,642,24801,198002,1906,198,115436,977,1906,366,70,88,3679,1906,1906,5353,19182,189662
From 1528440753 to 1528440783,58.23,2004,14,1887,14,81794,8505,8505,8505,1281,221,709,37212,8505,78028,1575,14,20,14,0,1500709,8505,2386,78028,370,5,709,709,1002,2203,8505,48001,709,42,1002,0,1828846,709,1469369,48001,8505,33619,34328,709,190,8505,35,1281,709,2199,150,709,14,14,78,190,30,8505,77319,28,1313,14,1002,370,709,20,14,2004,709,709,35,49876,1,709,221,709,709,8505,17725,709,81794,8505,17725,527136,709,8016,16445,52890,370,8505,758,28,709,709,8505,235,1318,1418,709,49874,8505,33619,12110,264,14432,77319,709,1019,14,1189,8016,2396,8505,14,20,14,1002,235,8505,3611,8505,3460,1318,14,33619,411,3201,14,709,49876,56,285,8902,81794,709,82,33619,221,709,150,14,30,1318,709,709,1887,6012,78028
From 1528440784 to 1528440813,80.4,4972,24,4379,24,152900,15958,15958,15958,3174,510,1988,70960,15958,150141,4122,24,24,24,0,2805758,15958,4049,150141,972,5,1988,1988,2486,5510,15958,35035,1988,72,2487,0,1624084,1988,2783466,35035,15958,63257,65245,1988,494,15958,87,3174,1988,4927,428,1988,24,24,239,494,52,15958,148153,48,2470,24,2486,972,1988,64,24,4972,1988,1988,57,38355,1,1988,510,1988,1988,15958,49700,1988,152900,15958,49700,376907,1988,19889,12453,76795,972,15958,2083,48,1988,1988,15958,680,2718,3976,1988,38353,15958,63257,30002,401,35792,148153,1988,2516,24,2051,19889,3962,15958,24,24,24,2486,680,15958,7265,15958,8572,2718,24,63257,1004,7413,24,1988,38355,96,696,16908,152900,1988,65,63257,510,1988,428,24,52,2718,1988,1988,4379,14916,150141
From 1528440814 to 1528440843,106.33,7946,77,6065,77,206346,32164,32164,32164,5443,1366,1347,115926,32164,201495,3457,77,92,77,0,3929314,32164,5794,201495,815,5,1347,1347,3973,7360,32164,63415,1347,231,3972,0,2744214,1347,3888522,63415,32164,107549,108896,1347,426,32164,118,5443,1347,6824,330,1347,77,77,203,426,85,32164,200148,154,3172,77,3973,815,1347,50,77,7946,1347,1347,90,67725,1,1347,1366,1347,1347,32164,33675,1347,206346,32164,33675,666685,1347,31783,22170,132275,815,32164,1715,154,1347,1347,32164,560,4958,2694,1347,67723,32164,107549,51898,617,60896,200148,1347,2191,77,2931,31783,5683,32164,77,92,77,3973,560,32164,10245,32164,14828,4958,77,107549,1792,10797,77,1347,67725,308,597,32971,206346,1347,153,107549,1366,1347,330,77,85,4958,1347,1347,6065,23838,201495
From 1528440844 to 1528440873,66.43,3462,20,2698,20,88911,8585,8585,8585,2296,461,1105,39165,8585,84159,2243,20,24,20,0,1651586,8585,2090,84159,529,5,1105,1105,1731,3593,8585,50679,1105,60,1731,0,2351786,1105,1618346,50679,8585,35213,36318,1105,280,8585,56,2296,1105,2956,208,1105,20,20,128,280,26,8585,83054,40,1313,20,1731,529,1105,36,20,3462,1105,1105,31,52500,1,1105,461,1105,1105,8585,27625,1105,88911,8585,27625,685683,1105,13848,17250,56444,529,8585,1104,40,1105,1105,8585,343,1879,2210,1105,52498,8585,35213,21546,264,25520,83054,1105,1352,20,1056,13848,2119,8585,20,24,20,1731,343,8585,4232,8585,6156,1879,20,35213,741,4687,20,1105,52500,80,381,9102,88911,1105,92,35213,461,1105,208,20,26,1879,1105,1105,2698,10386,84159
From 1528440874 to 1528440903,50.83,1852,23,1697,23,74371,8320,8320,8320,1268,312,387,47870,8320,73383,847,23,36,23,0,1397392,8320,2560,73383,200,5,387,387,926,1892,8320,14549,387,69,926,0,632322,387,1388363,14549,8320,44661,45048,387,102,8320,35,1268,387,2042,90,387,23,23,42,102,38,8320,72996,46,1257,23,926,200,387,12,23,1852,387,387,43,16285,1,387,312,387,387,8320,9675,387,74371,8320,9675,129260,387,7408,5327,49917,200,8320,426,46,387,387,8320,139,1063,774,387,16283,8320,44661,12187,249,14344,72996,387,790,23,1291,7408,2473,8320,23,36,23,926,139,8320,3518,8320,3482,1063,23,44661,414,2968,23,387,16285,92,141,8504,74371,387,46,44661,312,387,90,23,38,1063,387,387,1697,5556,73383
From 1528440904 to 1528440934,99.23,5996,63,5116,63,187129,20566,20566,20566,3931,837,1507,97120,20566,180806,3729,63,76,63,0,3595524,20566,5419,180806,877,5,1507,1507,2998,5918,20566,76244,1507,189,2998,0,3310467,1507,3546082,76244,20566,89680,91187,1507,447,20566,110,3931,1507,5831,362,1507,63,63,200,447,69,20566,179299,126,2717,63,2998,877,1507,56,63,5996,1507,1507,74,80571,1,1507,837,1507,1507,20566,37675,1507,187129,20566,37675,896127,1507,23984,26416,120270,877,20566,1818,126,1507,1507,20566,579,3493,3014,1507,80569,20566,89680,37310,652,44176,179299,1507,2193,63,2732,23984,5388,20566,63,76,63,2998,579,20566,9023,20566,10660,3493,63,89680,1284,8829,63,1507,80571,252,663,21402,187129,1507,160,89680,837,1507,362,63,69,3493,1507,1507,5116,17988,180806
From 1528440935 to 1528440964,74.87,4258,28,3315,28,116668,19010,19010,19010,2883,744,940,63226,19010,112746,1809,28,32,28,0,2263000,19010,3437,112746,426,5,940,940,2129,4144,19010,43583,940,84,2129,1,2055377,940,2234823,43583,19010,58528,59468,940,213,19010,56,2883,940,3766,192,940,28,28,92,213,48,19010,111806,56,1735,28,2129,426,940,24,28,4258,940,940,53,46180,1,940,745,940,940,19010,23500,940,116668,19010,23500,550415,940,17032,15140,76226,426,19010,902,56,940,940,19010,302,2644,1880,940,46178,19010,58528,27629,395,32400,111806,940,1411,28,1750,17032,3368,19010,28,32,28,2129,302,19010,5790,19010,7894,2644,28,58528,958,5895,28,940,46180,112,315,19445,116668,940,89,58528,744,940,192,28,48,2644,940,940,3315,12774,112746
From 1528440965 to 1528440994,48.23,1808,34,1775,34,68506,4995,4995,4995,1135,167,687,37645,4995,65916,1608,34,36,34,0,1275957,4995,2144,65916,379,5,687,687,904,2005,4995,31350,687,102,904,0,1274506,687,1255623,31350,4995,34579,35266,687,191,4995,54,1135,687,2055,168,687,34,34,84,191,26,4995,65229,68,1084,34,904,379,687,24,34,1808,687,687,31,33077,1,687,167,687,687,4995,17175,687,68506,4995,17175,352824,687,7232,10845,47170,379,4995,802,68,687,687,4995,256,1046,1374,687,33075,4995,34579,10759,265,12872,65229,687,969,34,1073,7232,2148,4995,34,36,34,904,256,4995,3321,4995,3074,1046,34,34579,358,2959,34,687,33077,136,276,5378,68506,687,72,34579,167,687,168,34,26,1046,687,687,1775,5424,65916
From 1528440995 to 1528441025,76.47,5080,32,4118,32,141867,16836,16836,16836,3425,772,1301,76708,16836,137724,2752,32,44,32,0,2607386,16836,4226,137725,650,5,1301,1300,2540,5122,16836,52522,1301,96,2540,0,2188189,1497,2573473,52522,16836,70478,71778,1301,346,16836,73,3425,1300,4677,260,1300,32,32,132,346,59,16836,136424,64,2239,32,2540,650,1300,44,32,5080,1300,1300,64,55730,1,1301,772,1301,1497,16836,32514,1300,141868,16836,32514,566079,1301,20320,18285,91207,650,16836,1344,64,1301,1300,16836,406,2927,2601,1301,55728,16836,70478,32459,455,38216,136424,1301,1875,32,2138,20320,4148,16836,32,44,32,2540,406,16836,7156,16836,9274,2927,32,70478,1118,7217,32,1300,55730,128,456,17463,141868,1300,105,70478,772,1301,260,32,59,2927,1301,1301,4118,15240,137725
