 CPUAvg,buy,main, AService:570,ItemDaoImpl:233,SearchController:32,SearchController:91,AController:54,ItemDaoImpl:280,AController:90,AController:114,AuthorDaoImpl:64,SearchController:70,AController:96,AController:134,AController:102,AService:468,DaoImpl:43,AController:108,AController:42
125.2,4259,683,0,18512,4518,4513,117999,0,28025,23738,1545,4513,28025,71214,28025,1545,69094,23738,23717
121.83,4320,669,0,16591,4231,4226,115869,0,27570,23326,1388,4226,27570,69978,27570,1388,67204,23326,23366
125.93,4369,696,0,17759,4445,4453,119538,0,28406,24034,1474,4453,28406,72102,28406,1474,69489,24034,24047
122.7,4287,784,0,16702,4196,4194,116688,0,27801,23514,1391,4195,27801,70540,27801,1391,67092,23514,23486
117.37,4077,693,0,16884,4196,4199,112311,0,26698,22599,1407,4198,26698,67799,26698,1407,65518,22599,22635
118.6,4133,692,0,15954,4056,4055,112243,0,26710,22602,1330,4055,26710,67806,26710,1330,64763,22602,22538
122.43,4254,761,0,16865,4282,4278,116886,0,27796,23512,1407,4278,27796,70536,27796,1407,67225,23512,23518
119.1,4204,693,0,16214,4090,4084,114257,0,27185,22983,1357,4084,27185,68949,27185,1357,65849,22983,23013
124.57,4295,700,0,17279,4408,4420,118426,0,28153,23831,1431,4420,28153,71493,28153,1431,68456,23831,23822
122.53,4244,686,0,17831,4351,4344,115996,0,27568,23332,1489,4344,27568,69996,27568,1489,67829,23332,23342
121.1,4396,684,0,17153,4342,4343,119197,0,28346,23991,1430,4343,28346,71973,28346,1430,68926,23991,23997
123.3,4300,723,0,16977,4303,4308,117814,0,27995,23701,1412,4308,27995,71103,27995,1412,67790,23701,23639
127.33,4485,766,0,17291,4278,4278,121449,0,28927,24439,1440,4278,28927,73317,28927,1440,69902,24439,24444
102,3530,567,0,14208,3595,3594,96893,0,23038,19506,1185,3594,23038,58518,23038,1185,56619,19506,19583
108.7,3786,640,0,15089,3771,3772,104893,0,24939,21100,1257,3772,24939,63300,24939,1257,60339,21100,21060
123.73,4352,724,0,16737,4279,4276,117715,0,28004,23677,1397,4276,28004,71031,28004,1397,67679,23677,23684
122,4216,671,0,17410,4252,4253,115165,0,27371,23171,1448,4253,27371,69513,27371,1448,67521,23171,23192
126.13,4415,765,0,17815,4415,4414,120228,0,28593,24186,1488,4414,28593,72558,28593,1488,69470,24186,24176
119.6,3964,693,0,16488,4088,4090,109131,0,25929,21965,1371,4090,25929,65895,25929,1371,63779,21965,22006
126.07,4412,721,0,17090,4340,4326,120575,0,28710,24278,1431,4326,28710,72834,28710,1431,69629,24278,24237
119.7,4221,700,0,16757,4213,4226,115461,0,27459,23216,1392,4226,27459,69648,27459,1392,66385,23216,23198
126.87,4653,808,0,17581,4490,4487,126331,0,30089,25443,1464,4487,30089,76329,30089,1464,72663,25443,25429
62.93,2171,374,0,8697,2199,2204,59452,0,14112,11970,723,2204,14112,35910,14112,723,34473,11970,11972
66.23,2325,423,0,8496,2187,2188,63900,0,15245,12867,708,2188,15245,38601,15245,708,36316,12867,12873
9.57,368,55,0,984,293,293,8613,0,2059,1717,82,293,2059,5151,2059,82,4813,1717,1783
29.17,951,182,0,3792,972,972,27982,0,6674,5637,316,972,6674,16911,6674,316,15653,5637,5512
114.03,3930,640,0,16431,4035,4031,106071,0,25183,21355,1372,4031,25183,64065,25183,1372,62430,21355,21457
122.73,4343,693,0,16321,4183,4184,118002,0,28080,23732,1359,4184,28080,71196,28080,1359,67648,23732,23710
116.53,4182,685,0,15128,3874,3877,112386,0,26772,22599,1259,3877,26772,67797,26772,1259,64468,22599,22617
125.6,4269,699,0,18370,4504,4501,118728,0,28191,23900,1532,4501,28191,71700,28191,1532,69090,23900,23880
125.13,4414,708,0,17270,4364,4366,120776,0,28735,24301,1438,4366,28735,72903,28735,1438,69673,24301,24279
123.47,4320,711,0,17352,4267,4268,117148,0,27880,23583,1446,4268,27880,70749,27880,1446,68339,23583,23610
120.03,4219,753,0,16408,4206,4205,116381,0,27673,23422,1368,4205,27673,70266,27673,1368,66608,23422,23463
114,4122,667,0,16340,4107,4108,112216,0,26699,22592,1361,4108,26699,67776,26699,1361,65039,22592,22537
121.03,4264,713,0,16534,4151,4146,115472,0,27491,23236,1381,4146,27491,69708,27491,1381,66598,23236,23218
110.67,3779,624,0,16310,3976,3980,103798,0,24636,20885,1357,3980,24636,62655,24636,1357,61241,20885,20938
118.23,4111,655,0,16416,4112,4112,113584,0,27000,22840,1367,4112,27000,68520,27000,1367,65258,22840,22788
111.47,3916,642,0,15648,3892,3892,105482,0,25082,21225,1304,3892,25082,63675,25082,1304,61523,21225,21282
118.67,4122,702,0,16580,4142,4140,113268,0,26934,22777,1383,4140,26934,68331,26934,1383,65248,22777,22712
124.47,4342,710,0,17728,4414,4417,118609,0,28198,23861,1476,4417,28198,71583,28198,1476,69172,23861,23938
119.87,4218,746,0,16224,4096,4094,114522,0,27247,23060,1352,4094,27247,69180,27247,1352,65856,23060,22983
117.5,4068,651,0,16742,4166,4166,111840,0,26595,22514,1396,4166,26595,67542,26595,1396,65344,22514,22582
122.33,4264,666,0,18242,4456,4456,118030,0,28014,23742,1521,4456,28014,71226,28014,1521,69118,23742,23743
121.7,4388,749,0,16808,4311,4310,119222,0,28342,23974,1399,4310,28342,71922,28342,1399,68125,23974,23891
99.8,3498,556,0,13766,3428,3429,95397,0,22715,19180,1148,3429,22715,57540,22715,1148,55410,19180,19223
109.87,3857,622,0,15622,3898,3900,104690,0,24876,21058,1301,3900,24876,63174,24876,1301,60863,21058,21110
92.57,3178,559,0,12243,3134,3127,87346,0,20783,17603,1025,3127,20783,52809,20783,1025,50237,17603,17563
127.2,4452,718,0,17674,4441,4443,121633,0,28942,24460,1470,4443,28942,73380,28942,1470,70113,24460,24416
124.27,4372,751,0,16765,4243,4245,119803,0,28508,24107,1396,4245,28508,72321,28508,1396,68827,24107,24093
125.67,4382,760,0,18417,4487,4483,119806,0,28463,24107,1535,4483,28463,72321,28463,1535,70123,24107,24184
123.23,4334,725,0,16880,4256,4255,118138,0,28102,23775,1406,4255,28102,71325,28102,1406,68016,23775,23682
126.83,4399,735,0,17792,4383,4385,120171,0,28586,24196,1484,4385,28586,72588,28586,1484,69935,24196,24266
120.33,4208,713,0,16332,4142,4144,114682,0,27287,23095,1361,4144,27287,69285,27287,1361,66401,23095,23106
125.33,4322,728,0,18122,4440,4440,118799,0,28234,23888,1512,4440,28234,71664,28234,1512,69194,23888,23911
127.53,4650,750,0,17685,4485,4485,126243,0,30052,25407,1471,4485,30052,76221,30052,1471,72565,25407,25393
124.1,4437,758,0,16306,4193,4195,119839,0,28535,24126,1359,4195,28535,72378,28535,1359,68531,24126,24044
105.97,3648,605,0,14928,3707,3709,100669,0,23913,20245,1243,3709,23913,60735,23913,1243,58541,20245,20311
118.4,4180,716,0,16235,4093,4081,113269,0,26962,22793,1357,4081,26962,68379,26962,1357,65275,22793,22805
119.4,4102,713,0,17039,4182,4180,112976,0,26863,22739,1420,4180,26863,68217,26863,1420,65819,22739,22756
117.13,4149,706,0,15685,3969,3977,112660,0,26801,22663,1305,3977,26801,67989,26801,1305,64528,22663,22625
112.93,3839,619,0,16729,4123,4129,107036,0,25409,21535,1392,4129,25409,64605,25409,1392,62748,21535,21573
127.33,4508,745,0,17918,4506,4504,122962,0,29262,24748,1494,4504,29262,74244,29262,1494,71136,24748,24703
117.67,4027,649,0,16302,3985,3982,109199,0,25945,21984,1361,3982,25945,65952,25945,1361,63912,21984,21988
119.83,4226,694,0,16756,4259,4264,115802,0,27531,23294,1393,4264,27531,69882,27531,1393,66547,23294,23245
124.57,4423,758,0,16524,4132,4131,119528,0,28486,24054,1378,4131,28486,72162,28486,1378,68828,24054,24147
126.9,4487,778,0,18938,4685,4684,123480,0,29320,24851,1578,4684,29320,74553,29320,1578,71996,24851,24801
122,4293,713,0,16295,4136,4128,117367,0,27950,23611,1361,4128,27950,70833,27950,1361,67405,23611,23638
126.9,4504,743,0,17256,4390,4393,122010,0,29029,24561,1437,4393,29029,73683,29029,1437,70456,24561,24564
120.97,4192,717,0,17284,4308,4311,115776,0,27504,23293,1439,4311,27504,69879,27504,1439,67045,23293,23210
121.17,4227,708,0,16993,4279,4276,115620,0,27481,23265,1418,4276,27481,69795,27481,1418,67070,23265,23326
121.8,4312,703,0,16828,4173,4178,116685,0,27776,23468,1400,4178,27776,70404,27776,1400,67629,23468,23481
125.97,4372,761,0,17536,4433,4432,120292,0,28617,24215,1461,4432,28617,72645,28617,1461,69507,24215,24200
127.03,4435,742,0,17834,4401,4401,121141,0,28802,24363,1487,4401,28802,73089,28802,1487,70067,24363,24356
121.7,4315,753,0,16490,4198,4199,116956,0,27820,23530,1373,4199,27820,70590,27820,1373,67133,23530,23503
119.97,4154,684,0,16741,4174,4169,113439,0,26955,22813,1397,4169,26955,68439,26955,1397,66276,22813,22879
122.07,4209,718,0,17439,4274,4279,116247,0,27630,23377,1451,4279,27630,70131,27630,1451,67530,23377,23385
124.2,4468,746,0,18168,4541,4539,122088,0,29022,24586,1515,4539,29022,73758,29022,1515,70884,24586,24583
131.97,4555,813,0,18671,4627,4623,125149,0,29767,25201,1560,4623,29767,75603,29767,1560,72696,25201,25144
97.63,3462,588,0,12943,3223,3214,92724,0,22105,18674,1076,3214,22105,56022,22105,1076,53764,18674,18737
117.83,4081,683,0,16988,4224,4241,112443,0,26696,22604,1413,4241,26696,67812,26696,1413,65331,22604,22596
120.93,4238,689,0,16508,4177,4170,115323,0,27446,23214,1378,4170,27446,69642,27446,1378,66433,23214,23217
125.7,4246,669,0,19151,4599,4600,118795,0,28188,23881,1595,4600,28188,71643,28188,1595,69917,23881,23832
121.23,4221,712,0,17285,4268,4270,114560,0,27228,23058,1441,4270,27228,69174,27228,1441,66786,23058,23108
130.03,4532,722,0,18276,4537,4537,124501,0,29614,25043,1521,4537,29614,75129,29614,1521,72237,25043,25034
