Period, CPUAvg, person,encounter,obs,concept,
From 153716 To 153746,103.17,534,17,13,11,
From 153786 To 153816,101.9,557,20,12,16,
From 153816 To 153846,106.73,453,14,15,12,
From 153886 To 153916,96.1,587,10,23,16,
From 153916 To 153946,97.13,539,14,20,15,
From 153987 To 154017,96.3,549,19,19,10,
From 154017 To 154047,103.33,532,12,15,17,
From 154087 To 154117,102.43,582,19,16,16,
From 154117 To 154147,99.13,549,8,19,14,
From 154187 To 154217,105.7,498,17,11,14,
From 154218 To 154248,97.87,411,9,16,9,
From 154288 To 154318,70.43,338,9,10,12,
From 154318 To 154348,99.37,443,14,11,11,
From 154388 To 154418,98.8,421,9,11,11,
From 154419 To 154449,83.0,368,12,10,7,
From 154489 To 154519,88.17,481,14,17,18,
From 154519 To 154549,92.17,464,10,16,12,
From 154589 To 154619,94.3,505,22,13,16,
From 154619 To 154649,101.2,525,13,16,19,
From 154690 To 154720,96.1,593,13,17,15,
From 154720 To 154750,109.0,523,15,15,13,
From 154790 To 154820,101.63,546,14,15,14,
From 154820 To 154850,99.53,520,18,8,12,
From 154890 To 154920,102.27,488,14,17,10,
From 154921 To 154951,95.63,558,17,12,21,
From 154991 To 155021,88.17,573,19,14,14,
From 155021 To 155051,96.43,533,20,15,15,
From 155091 To 155121,90.0,473,11,11,16,
From 155121 To 155151,102.0,466,12,11,14,
From 155192 To 155222,96.33,531,15,19,16,
From 155222 To 155252,99.9,478,13,17,16,
From 155292 To 155322,101.07,545,13,16,16,
From 155322 To 155352,98.47,562,21,18,11,
From 155393 To 155423,106.8,470,10,12,14,
From 155423 To 155453,95.83,586,17,14,19,
From 155493 To 155523,102.3,555,17,11,22,
From 155523 To 155553,108.7,552,17,11,12,
From 155593 To 155623,101.23,526,16,16,13,
From 155624 To 155654,100.6,578,15,18,17,
From 155694 To 155724,102.6,526,21,15,10,
From 155724 To 155754,104.77,499,13,15,15,
From 155794 To 155824,99.6,613,22,19,13,
From 155824 To 155854,99.93,559,13,25,14,
From 155895 To 155925,98.3,549,22,10,14,
From 155925 To 155955,104.73,514,17,15,12,
From 159995 To 160025,102.73,465,14,10,15,
From 160025 To 160055,98.1,475,13,13,8,
From 160095 To 160125,101.27,532,24,11,9,
From 160126 To 160156,100.4,560,22,14,21,
From 160196 To 160226,59.53,197,3,6,6,
From 160226 To 160256,109.93,578,12,20,18,
From 160296 To 160326,106.07,498,12,9,13,
From 160327 To 160357,102.13,609,12,20,24,
From 160398 To 160428,103.83,509,10,15,14,
From 160428 To 160458,107.17,530,14,13,16,
From 160498 To 160528,100.57,556,14,12,15,
From 160528 To 160558,100.33,520,18,19,13,
From 160598 To 160628,92.73,448,11,18,5,
From 160629 To 160659,97.73,574,19,16,18,
From 160699 To 160729,99.27,559,16,8,17,
From 160729 To 160759,107.97,527,16,18,11,
From 160799 To 160829,104.83,465,12,8,12,
From 160829 To 160859,99.97,506,15,8,20,
From 160900 To 160930,103.5,493,19,12,7,
From 160970 To 161000,103.53,489,16,9,15,
From 161000 To 161030,98.27,513,13,13,14,
From 161070 To 161100,102.0,575,16,18,16,
From 161100 To 161130,92.33,511,13,22,13,
From 161171 To 161201,98.57,558,15,18,17,
From 161201 To 161231,102.77,584,17,21,18,
From 161271 To 161301,102.2,507,18,11,14,
From 161301 To 161331,107.5,542,16,11,18,
From 161371 To 161401,97.37,531,18,15,18,
From 161402 To 161432,103.57,558,13,19,22,
From 161472 To 161502,99.4,534,12,14,11,
From 161502 To 161532,105.43,530,10,20,14,
From 161572 To 161602,107.17,530,10,15,15,
From 161602 To 161632,101.13,519,19,12,15,
From 161673 To 161703,98.9,526,12,10,18,
From 161703 To 161733,96.53,472,11,17,17,
From 161773 To 161803,99.6,513,13,23,11,
From 161803 To 161833,99.8,534,13,17,8,
From 161873 To 161903,100.6,558,23,9,17,
From 161904 To 161934,98.47,563,17,18,17,
From 161974 To 162004,106.9,471,10,18,16,
From 162004 To 162034,79.63,342,10,13,10,
From 162074 To 162104,85.83,405,9,11,10,
From 162105 To 162135,94.43,465,13,10,12,
From 162175 To 162205,88.83,399,12,14,12,
From 162205 To 162235,99.9,480,17,9,9,
From 162275 To 162305,94.23,457,14,16,16,
From 162305 To 162335,102.47,534,15,15,15,
From 162376 To 162406,89.83,503,20,13,14,
From 162406 To 162436,89.5,612,20,15,15,
From 162476 To 162506,102.87,482,9,18,16,
From 162506 To 162536,97.07,540,24,16,14,
From 162576 To 162606,100.03,494,9,21,11,
From 162607 To 162637,98.83,457,10,9,17,
From 162677 To 162707,95.53,498,18,11,16,
From 162707 To 162737,93.57,550,17,18,12,
From 162777 To 162807,94.03,528,14,16,9,
From 162807 To 162837,104.33,485,11,15,14,
From 162878 To 162908,96.97,516,21,10,16,
From 162908 To 162938,99.3,559,11,15,16,
From 162978 To 163008,102.67,522,17,18,10,
From 163008 To 163038,104.97,549,12,19,12,
From 163078 To 163108,103.4,498,12,10,17,
From 163109 To 163139,100.9,556,12,20,16,
From 163179 To 163209,101.83,498,9,20,10,
From 163209 To 163239,104.1,573,14,16,19,
From 163279 To 163309,101.17,574,10,17,15,
From 163309 To 163339,93.33,468,10,15,16,
From 163380 To 163410,107.33,525,13,12,12,
From 163410 To 163440,108.07,489,10,14,9,
From 163480 To 163510,104.6,470,15,11,8,
From 163510 To 163540,105.53,500,12,10,16,
From 163580 To 163610,102.17,570,21,16,16,
From 163611 To 163641,101.0,526,14,25,17,
From 163681 To 163711,98.7,550,12,10,17,
From 163711 To 163741,96.03,547,16,14,21,
From 163781 To 163811,97.63,587,20,19,23,
