Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528478366 to 1528478395,108.23,166,1317,33587,1244343,160,260,1317,88
From 1528478396 to 1528478425,101.7,324,1211,19501,715437,130,224,1211,88
From 1528478426 to 1528478456,102.97,310,764,33410,1233760,147,234,764,62
From 1528478457 to 1528478486,98.2,288,1219,16152,593837,125,220,1219,79
From 1528478487 to 1528478516,105.73,193,1313,32644,1220488,149,240,1313,81
From 1528478517 to 1528478546,101.53,190,1156,23942,916832,123,204,1156,47
From 1528478547 to 1528478576,105.6,257,1076,24570,919787,135,226,1076,78
From 1528478577 to 1528478606,101.67,288,1197,28463,1038874,152,252,1197,82
From 1528478607 to 1528478636,101.0,216,760,22286,835236,135,230,760,105
From 1528478637 to 1528478667,105.23,212,994,31654,1190198,143,230,994,85
From 1528478668 to 1528478697,107.73,124,897,32677,1221796,134,210,897,55
From 1528478698 to 1528478727,107.37,158,2044,36253,1314281,159,256,2044,54
From 1528478728 to 1528478757,104.37,235,1262,29928,1102156,141,228,1262,62
From 1528478758 to 1528478787,106.3,159,1068,28852,1067341,133,214,1068,56
From 1528478788 to 1528478817,104.03,313,1468,23040,847004,141,240,1468,70
From 1528478818 to 1528478847,101.87,235,1397,22261,834207,130,220,1397,72
From 1528478848 to 1528478878,102.33,392,933,29949,1104381,146,238,933,72
From 1528478879 to 1528478908,53.33,110,441,8127,300527,64,112,441,50
From 1528478909 to 1528478938,55.03,132,581,21268,805509,81,124,581,31
From 1528478939 to 1528478968,48.23,108,750,8271,311287,60,104,750,28
From 1528478969 to 1528478998,67.63,170,918,14142,533577,79,132,918,39
From 1528478999 to 1528479028,105.03,238,1059,30557,1148370,150,245,1059,85
From 1528479029 to 1528479058,101.87,212,1123,24502,914397,135,227,1123,82
From 1528479059 to 1528479089,100.63,332,891,21144,792949,133,228,891,75
From 1528479090 to 1528479119,105.93,104,956,27685,1022155,130,210,956,81
From 1528479120 to 1528479149,104.57,216,1107,28789,1061718,138,224,1107,72
From 1528479150 to 1528479179,102.87,310,1265,22690,824689,127,212,1265,54
From 1528479180 to 1528479209,87.87,160,958,17057,620910,106,180,958,96
From 1528479210 to 1528479239,60.37,118,162,21192,799074,85,132,162,43
From 1528479240 to 1528479269,73.83,157,795,21016,786680,81,124,795,20
From 1528479270 to 1528479300,71.17,141,793,12763,474045,81,136,793,38
From 1528479301 to 1528479330,68.77,100,527,13893,513738,82,138,527,60
From 1528479331 to 1528479360,82.93,151,1260,14891,545348,94,162,1260,53
From 1528479361 to 1528479390,101.23,371,1251,29810,1136360,149,244,1251,75
From 1528479391 to 1528479420,106.7,278,1373,26613,987406,142,236,1373,49
From 1528479421 to 1528479450,109.43,148,1000,32937,1240206,150,242,1000,85
From 1528479451 to 1528479480,104.57,224,587,30556,1150514,125,196,587,54
From 1528479481 to 1528479511,103.27,358,1376,26582,983994,145,244,1376,63
From 1528479512 to 1528479541,91.23,288,1103,25473,943732,128,208,1103,80
From 1528479542 to 1528479571,93.03,326,906,20633,757012,122,206,906,76
From 1528479572 to 1528479601,95.07,237,1611,22109,823020,130,220,1611,54
From 1528479602 to 1528479631,101.67,279,1132,26182,996392,139,232,1132,65
From 1528479632 to 1528479661,104.47,250,1115,27733,1026139,146,242,1115,79
From 1528479662 to 1528479691,102.23,224,1323,19002,708492,129,224,1323,114
From 1528479692 to 1528479722,109.03,186,1757,29545,1086111,148,242,1757,66
From 1528479723 to 1528479752,106.27,292,941,28148,1058630,137,224,941,71
From 1528479753 to 1528479782,105.27,128,1416,31050,1144595,143,230,1416,55
From 1528479783 to 1528479812,105.63,310,713,32978,1245234,143,228,713,62
From 1528479813 to 1528479842,109.8,230,1256,27682,1022901,139,228,1256,77
From 1528479843 to 1528479872,104.7,186,729,35059,1271208,148,232,729,69
From 1528479873 to 1528479902,98.93,296,1357,15976,580985,121,212,1357,86
From 1528479903 to 1528479933,91.87,202,982,27431,1005687,136,222,982,74
From 1528479934 to 1528479963,66.67,138,208,21919,818914,86,134,208,37
From 1528479964 to 1528479993,88.4,197,802,19308,736920,107,178,802,43
From 1528479994 to 1528480023,95.0,289,1227,25621,955752,130,214,1227,71
From 1528480024 to 1528480053,106.9,252,471,37533,1408517,154,242,471,77
From 1528480054 to 1528480083,110.53,254,1445,31140,1149061,149,242,1445,62
From 1528480084 to 1528480113,98.97,244,1169,22719,869546,124,208,1169,60
From 1528480114 to 1528480144,106.03,314,970,33848,1264549,157,254,969,73
From 1528480145 to 1528480174,99.9,210,1573,16367,611618,112,194,1574,52
From 1528480175 to 1528480204,92.07,304,1029,25988,979893,133,220,1029,60
From 1528480205 to 1528480234,96.1,182,812,18477,683013,114,194,812,72
From 1528480235 to 1528480264,100.43,322,1180,25352,934350,141,236,1180,85
From 1528480265 to 1528480294,105.57,280,1068,24366,921587,140,236,1068,67
From 1528480295 to 1528480324,108.1,266,795,25865,972277,138,230,795,88
From 1528480325 to 1528480355,97.27,246,904,20899,777089,108,178,904,57
From 1528480356 to 1528480385,93.73,188,847,17827,675626,100,168,847,48
From 1528480386 to 1528480415,99.77,360,533,23150,857477,119,196,533,53
From 1528480416 to 1528480445,97.83,304,1565,17484,650771,125,218,1565,74
