Period, CPUAvg, person,encounter,concept,obs,
From 145295 To 145325,97.47,720,26,15,19,
From 145325 To 145355,100.7,769,22,16,23,
From 145395 To 145425,85.13,661,21,22,18,
From 145425 To 145455,70.87,523,14,17,20,
From 145496 To 145526,88.2,659,20,15,16,
From 145526 To 145556,101.5,816,15,22,23,
From 145596 To 145626,94.93,684,17,32,20,
From 145626 To 145656,88.2,617,24,10,22,
From 145696 To 145726,101.4,802,14,28,20,
From 145727 To 145757,99.23,818,22,23,26,
From 145797 To 145827,99.8,767,16,22,30,
From 145827 To 145857,101.37,841,18,16,35,
From 145897 To 145927,85.33,600,13,17,26,
From 145927 To 145957,79.63,634,15,16,15,
From 149997 To 150027,101.3,783,22,20,26,
From 150028 To 150058,102.57,864,24,33,21,
From 150098 To 150128,84.3,676,20,20,13,
From 150128 To 150158,105.23,765,27,14,19,
From 150198 To 150228,96.03,718,25,24,19,
From 150228 To 150258,96.63,734,22,26,28,
From 150298 To 150328,100.57,813,18,28,24,
From 150329 To 150359,96.57,788,23,20,22,
From 150399 To 150429,101.9,758,25,25,19,
From 150429 To 150459,99.57,820,23,24,15,
From 150499 To 150529,92.8,651,15,19,20,
From 150570 To 150600,104.23,821,26,22,21,
From 150600 To 150630,101.33,792,23,15,29,
From 150670 To 150700,96.0,778,24,21,25,
From 150700 To 150730,93.57,732,19,24,13,
From 150770 To 150800,81.87,505,13,8,16,
From 150800 To 150830,98.4,754,24,12,20,
From 150871 To 150901,102.9,733,18,18,20,
From 150901 To 150931,94.4,765,29,27,14,
From 150971 To 151001,101.4,727,23,26,15,
From 151001 To 151031,60.43,379,15,12,7,
From 151071 To 151101,56.03,361,12,9,10,
From 151101 To 151131,49.8,338,4,16,12,
From 151172 To 151202,38.3,210,1,8,6,
From 151202 To 151232,40.57,226,8,6,4,
From 151272 To 151302,30.2,190,7,8,3,
From 151303 To 151333,26.67,102,1,2,5,
From 151373 To 151403,29.03,195,7,8,3,
From 151403 To 151433,44.9,294,9,7,11,
From 151473 To 151503,34.3,233,10,5,6,
From 151503 To 151533,37.93,268,6,7,9,
From 151573 To 151603,91.2,809,33,23,20,
From 151603 To 151633,94.5,730,21,27,21,
From 151674 To 151704,96.47,759,18,22,24,
From 151704 To 151734,98.63,777,18,23,32,
From 151774 To 151804,101.5,731,22,21,23,
From 151804 To 151834,95.1,706,23,19,19,
From 151874 To 151904,85.4,663,16,16,17,
