Period, CPUAvg, person,concept,obs,encounter,
From 154000 To 154030,71.1,374,6,9,13,
From 154070 To 154100,101.57,516,18,16,11,
From 154101 To 154131,107.5,547,25,12,15,
From 154171 To 154201,99.53,535,17,12,15,
From 154201 To 154231,96.87,492,16,16,15,
From 154271 To 154301,104.37,504,12,11,23,
From 154301 To 154331,97.13,522,12,19,16,
From 154372 To 154402,100.33,496,14,13,26,
From 154402 To 154432,106.37,494,12,17,15,
From 154472 To 154502,101.37,541,17,10,19,
From 154502 To 154532,101.93,534,17,13,14,
From 154572 To 154602,96.23,490,19,17,12,
From 154603 To 154633,92.13,385,15,13,8,
From 154673 To 154703,72.77,297,9,11,7,
From 154703 To 154733,85.4,342,10,10,13,
From 154773 To 154803,75.57,271,10,9,4,
From 154803 To 154833,84.37,395,11,9,17,
From 154874 To 154904,78.13,340,6,6,10,
From 154904 To 154934,68.6,324,8,13,11,
From 154974 To 155004,79.27,328,12,4,9,
From 155004 To 155034,84.6,401,15,12,8,
From 155075 To 155105,109.93,545,15,18,16,
From 155105 To 155135,84.9,362,11,6,15,
From 155175 To 155205,98.37,528,14,21,16,
From 155205 To 155235,103.77,501,17,13,10,
From 155276 To 155306,107.83,520,21,16,14,
From 155306 To 155336,106.1,506,16,9,11,
From 155376 To 155406,95.27,459,13,15,18,
From 155406 To 155436,105.37,487,12,18,14,
From 155476 To 155506,95.37,546,17,8,23,
From 155507 To 155537,103.27,525,9,16,17,
From 155577 To 155607,97.37,466,15,11,15,
From 155607 To 155637,99.03,472,17,11,11,
From 155677 To 155707,98.2,452,17,12,15,
From 155707 To 155737,92.63,436,15,14,9,
From 155778 To 155808,97.6,505,17,12,13,
From 155808 To 155838,94.1,474,19,12,10,
From 155878 To 155908,98.83,492,14,16,7,
From 155908 To 155938,104.43,493,12,9,13,
From 159978 To 160008,112.07,485,16,8,12,
From 160009 To 160039,104.87,514,13,15,16,
From 160079 To 160109,69.93,306,12,16,6,
From 160109 To 160139,103.8,519,17,11,17,
From 160179 To 160209,102.6,525,16,14,14,
From 160209 To 160239,102.1,500,13,17,13,
From 160280 To 160310,110.77,525,15,19,13,
From 160310 To 160340,105.33,506,13,16,15,
From 160380 To 160410,105.0,511,14,14,14,
From 160410 To 160440,103.1,544,22,11,12,
From 160480 To 160510,100.53,479,12,11,10,
From 160511 To 160541,110.3,487,10,16,11,
From 160581 To 160611,104.83,471,10,13,18,
From 160611 To 160641,96.67,433,8,14,10,
From 160681 To 160711,96.33,496,14,12,20,
From 160711 To 160741,104.1,497,17,9,17,
From 160782 To 160812,105.63,581,20,15,21,
From 160812 To 160842,107.43,439,13,8,16,
From 160882 To 160912,94.9,514,20,21,13,
From 160912 To 160942,104.43,533,12,14,21,
From 160983 To 161013,105.0,511,17,17,12,
From 161013 To 161043,81.7,267,12,10,8,
From 161083 To 161113,75.73,379,13,15,11,
From 161113 To 161143,103.53,507,13,5,17,
From 161183 To 161213,104.6,502,13,13,19,
From 161213 To 161243,99.9,498,15,17,16,
From 161284 To 161314,95.83,515,12,13,16,
From 161314 To 161344,106.7,533,18,14,17,
From 161384 To 161414,103.3,508,8,17,16,
From 161414 To 161444,99.13,470,16,10,12,
From 161484 To 161514,102.23,504,16,9,17,
From 161515 To 161545,109.53,410,15,12,13,
From 161585 To 161615,103.37,486,9,11,17,
From 161615 To 161645,99.23,486,7,19,21,
From 161685 To 161715,86.4,442,14,10,17,
From 161715 To 161745,98.77,480,13,13,13,
From 161786 To 161816,104.97,505,10,13,19,
From 161816 To 161846,105.67,548,11,17,20,
From 161886 To 161916,104.43,519,14,8,17,
From 161916 To 161946,102.87,471,9,12,14,
From 161987 To 162017,98.27,522,19,21,15,
From 162017 To 162047,86.5,374,14,11,13,
From 162087 To 162117,82.03,407,18,14,9,
From 162117 To 162147,89.7,431,11,19,6,
From 162187 To 162217,102.83,513,13,11,15,
From 162218 To 162248,100.77,564,11,18,15,
From 162288 To 162318,113.93,428,10,10,13,
From 162318 To 162348,94.87,485,18,11,10,
