 CPUAvg,search,main, Customer:198,AddressDaoImpl:53,Address:195,AService:538,CustomerDaoImpl:65,AService:530,AService:515,Customer:234,Customer:223,AService:522,Customer:139,ShoppingCartDapImpl:44,AController:42,Customer:96,Customer:245,AController:89,Customer:113,Address:135,Address:77,DaoImpl:42,Address:96,Address:165,AController:101,AController:109,AController:108,Customer:126,AService:545,Customer:102,BuyController:55,BuyController:198,Customer:185,AService:508,Address:123,Address:149,ShoppingCart:64,Customer:210,Customer:273,Address:109,Customer:256,AController:54,Customer:160,Customer:148,Customer:88,Address:68,Address:83,CountryDaoImpl:56,AController:134,Customer:290,Customer:173,AController:96,Customer:278
126.33,4244,744,13125,8768,43932,8716,4355,4355,4355,13125,13125,4355,17485,17587,23964,39500,13125,28388,13125,21948,39577,68794,21947,21948,28388,23988,23988,17485,8758,8774,4355,13065,13125,4355,21948,21948,105677,13125,13125,21948,13125,119265,13124,13124,8769,13181,13176,13169,71964,13125,13125,28388,13125
122.6,4252,710,12649,8432,42282,8435,4217,4217,4217,12649,12649,4217,16867,16855,23182,38018,12649,27380,12649,21081,38065,67071,21083,21081,27380,23207,23207,16867,8402,8432,4217,12651,12649,4217,21081,21081,101132,12649,12649,21081,12649,115230,12649,12649,8431,12647,12662,12637,69621,12649,12649,27380,12649
128.43,4385,751,13307,8871,44342,8869,4436,4436,4436,13307,13307,4436,17740,17784,24360,39880,13307,28770,13307,22177,39906,69744,22177,22177,28770,24322,24322,17740,8913,8869,4436,13308,13307,4436,22177,22177,106690,13307,13307,22177,13307,120820,13307,13307,8872,13306,13306,13310,72966,13307,13307,28770,13307
122.73,4288,708,12727,8497,42301,8474,4254,4249,4254,12727,12727,4254,16959,16936,23345,38099,12727,27578,12727,21229,38052,67079,21221,21229,27578,23319,23319,16959,8473,8475,4254,12762,12727,4254,21229,21229,101469,12727,12727,21229,12727,115965,12739,12739,8497,12740,12717,12743,69957,12727,12727,27578,12727
128.5,4473,733,13248,8821,44262,8846,4409,4412,4409,13248,13248,4409,17676,17697,24325,39800,13248,28757,13248,22059,39850,70149,22064,22059,28757,24350,24350,17676,8854,8839,4409,13227,13248,4409,22059,22059,106112,13248,13248,22059,13248,120939,13239,13239,8820,13233,13251,13225,73050,13248,13248,28757,13248
122.1,4123,680,12569,8393,41945,8375,4196,4189,4196,12569,12569,4196,16758,16770,23010,37782,12569,27259,12569,20977,37756,66142,20971,20977,27259,23035,23035,16758,8374,8386,4196,12588,12569,4196,20977,20977,100985,12569,12569,20977,12569,114546,12579,12579,8393,12590,12582,12593,69105,12569,12569,27259,12569
138.33,4677,779,14012,9335,46611,9339,4663,4668,4663,14012,14012,4663,18681,18630,25641,41978,14012,30242,14012,23344,41943,74119,23346,23344,30242,25605,25605,18681,9308,9341,4663,13989,14012,4663,23344,23344,111582,14012,14012,23344,14012,127206,14005,14005,9335,14007,14008,14004,76815,14012,14012,30242,14012
130.27,4547,744,13390,8919,44695,8930,4459,4463,4459,13390,13390,4459,17855,17908,24637,40183,13390,29086,13390,22305,40232,71626,22312,22305,29086,24645,24645,17855,8970,8925,4459,13377,13390,4459,22305,22305,107428,13390,13390,22305,13390,122352,13384,13384,8919,13379,13387,13386,73935,13390,13390,29086,13390
126.53,4392,697,12850,8567,42698,8569,4285,4285,4285,12850,12850,4285,17135,17083,23660,38523,12850,27923,12850,21406,38413,68156,21396,21406,27923,23630,23630,17135,8543,8573,4285,12855,12850,4285,21406,21406,102304,12850,12850,21406,12850,117487,12851,12851,8573,12849,12828,12856,70890,12850,12850,27923,12850
124.6,4503,740,13288,8848,44330,8880,4444,4444,4444,13288,13288,4444,17726,17698,24434,39858,13288,28913,13288,22110,39886,70503,22120,22110,28913,24474,24474,17726,8859,8836,4444,13332,13288,4444,22110,22110,106460,13288,13288,22110,13288,121664,13290,13290,8842,13252,13274,13253,73422,13288,13288,28913,13288
125.37,4263,710,12890,8591,42990,8596,4293,4293,4293,12890,12890,4293,17190,17207,23582,38634,12890,27918,12890,21480,38697,68203,21480,21480,27918,23625,23625,17190,8613,8598,4293,12879,12890,4293,21480,21480,103123,12890,12890,21480,12890,117361,12887,12887,8591,12889,12892,12873,70875,12890,12890,27918,12890
117.3,4148,644,11956,7972,39864,7968,3984,3984,3984,11956,11956,3984,15940,15920,22064,35984,11956,26089,11956,19932,35880,63941,19932,19932,26089,22079,22079,15940,7944,7972,3984,11952,11956,3984,19932,19932,95792,11956,11956,19932,11956,109863,11956,11956,7972,11960,11960,11960,66237,11956,11956,26089,11956
126.53,4401,688,13086,8740,43748,8692,4346,4346,4346,13086,13086,4346,17432,17494,23907,39260,13086,28239,13086,21874,39402,68808,21874,21874,28239,23899,23899,17432,8706,8740,4346,13038,13086,4346,21874,21874,104913,13086,13086,21874,13086,118794,13086,13086,8740,13134,13134,13134,71697,13086,13086,28239,13086
125.53,4308,739,13064,8704,43479,8718,4359,4359,4359,13064,13064,4359,17423,17403,23900,39155,13064,28178,13063,21751,39120,68445,21748,21751,28178,23834,23834,17422,8708,8708,4359,13077,13064,4359,21751,21751,104242,13064,13063,21751,13064,118477,13064,13064,8708,13050,13044,13061,71502,13064,13064,28178,13064
121.83,4192,682,12539,8365,41845,8350,4175,4175,4175,12539,12539,4175,16714,16761,22983,37625,12539,27159,12540,20922,37670,65930,20925,20922,27159,22992,22992,16715,8390,8361,4175,12525,12539,4175,20922,20922,100475,12539,12540,20922,12539,114188,12539,12539,8361,12554,12559,12543,68976,12539,12539,27159,12539
124.7,4280,721,12654,8434,42186,8440,4220,4220,4220,12654,12654,4220,16874,16889,23330,37961,12654,27569,12654,21082,37966,67549,21082,21082,27569,23348,23348,16874,8457,8434,4220,12660,12654,4220,21082,21082,101478,12654,12654,21082,12654,115969,12654,12654,8434,12648,12649,12648,70044,12654,12654,27569,12654
129.87,4455,744,13334,8890,44435,8888,4444,4444,4444,13334,13334,4444,17778,17760,24457,39998,13334,28879,13334,22225,39991,70376,22224,22225,28879,24433,24433,17778,8872,8890,4444,13332,13334,4444,22225,22225,106582,13334,13334,22225,13334,121381,13334,13334,8890,13336,13333,13336,73299,13334,13334,28879,13334
136.5,4693,757,14035,9384,46843,9350,4699,4684,4699,14035,14035,4699,18710,18742,25900,42133,14035,30689,14035,23439,42159,74385,23425,23439,30689,25927,25927,18710,9368,9360,4699,14097,14035,4699,23439,23439,112724,14035,14035,23439,14035,129014,14059,14059,9384,14069,14048,14070,77781,14035,14035,30689,14035
127.53,4404,679,13170,8763,43818,8788,4387,4397,4387,13170,13170,4387,17561,17513,23969,39456,13170,28287,13170,21912,39421,69148,21922,21912,28287,23947,23947,17561,8765,8767,4387,13161,13170,4387,21912,21912,104756,13170,13170,21912,13170,118953,13160,13160,8763,13139,13149,13138,71841,13170,13170,28287,13170
137.73,4696,773,14119,9394,46953,9432,4701,4705,4701,14119,14119,4701,18838,18797,25868,42363,14119,30553,14119,23484,42248,74403,23487,23484,30553,25856,25856,18838,9416,9413,4701,14103,14119,4701,23484,23484,112658,14119,14119,23484,14119,128524,14107,14107,9395,14087,14096,14106,77568,14119,14119,30553,14119
118.9,4292,714,12733,8479,42248,8507,4260,4261,4260,12733,12733,4260,16983,16893,23341,38072,12733,27582,12733,21174,37987,67209,21171,21174,27582,23333,23333,16983,8469,8470,4260,12780,12733,4260,21174,21174,101449,12733,12733,21174,12733,115985,12736,12736,8480,12698,12690,12721,69999,12733,12733,27582,12733
126.53,4407,767,12757,8515,42801,8483,4234,4234,4234,12757,12757,4234,17002,17094,23554,38374,12757,27800,12757,21316,38567,68694,21321,21316,27800,23570,23570,17002,8509,8524,4234,12702,12757,4234,21316,21316,102394,12757,12757,21316,12757,117033,12753,12753,8513,12796,12808,12754,70710,12757,12757,27800,12757
130.33,4358,742,13354,8933,44592,8881,4463,4449,4463,13354,13354,4463,17793,17852,24438,40121,13354,28902,13354,22322,40143,70453,22308,22322,28902,24439,24439,17793,8913,8909,4463,13389,13354,4463,22322,22322,107346,13354,13354,22322,13354,121448,13375,13375,8933,13403,13382,13403,73317,13354,13354,28902,13354
117.1,3989,705,12031,7996,40076,8029,3991,4005,3991,12031,12031,3991,16047,16016,21969,36110,12031,25966,12031,20011,36071,63581,20025,20011,25966,21974,21974,16047,8005,8021,3991,11973,12031,3991,20011,20011,96087,12031,12031,20011,12031,109035,12009,12009,7996,12001,12023,12014,65922,12031,12031,25966,12031
134.3,4586,758,13630,9082,45358,9096,4548,4548,4548,13630,13630,4548,18178,18137,25052,40816,13630,29610,13630,22698,40810,72194,22698,22698,29610,25063,25063,18178,9077,9082,4548,13644,13630,4548,22698,22698,108802,13630,13630,22698,13630,124561,13630,13630,9082,13616,13616,13603,75189,13630,13630,29610,13630
