Period, CPUAvg, person,encounter,obs,concept,
From 25324 To 25354,127.0,286,15,4,5,
From 25394 To 25424,101.03,280,5,10,8,
From 25425 To 25455,96.13,319,10,5,13,
From 25495 To 25525,103.47,288,6,12,10,
From 25525 To 25555,115.1,356,8,8,13,
From 25595 To 25625,94.03,266,7,10,6,
From 25625 To 25655,126.1,316,12,8,6,
From 25695 To 25725,94.97,242,4,9,11,
From 25725 To 25755,149.83,375,14,10,8,
From 25796 To 25826,87.0,246,5,9,4,
From 25826 To 25856,139.7,315,12,7,8,
From 25896 To 25926,119.87,302,15,7,7,
From 25926 To 25956,123.53,325,7,8,10,
From 29996 To 30026,88.57,286,12,7,5,
From 30026 To 30056,116.97,333,9,14,11,
From 30096 To 30126,103.83,297,8,9,10,
From 30126 To 30156,92.9,291,10,12,5,
From 30197 To 30227,128.8,344,10,11,9,
From 30227 To 30257,91.83,240,8,6,9,
From 30297 To 30327,122.27,297,6,5,8,
From 30327 To 30357,129.67,374,9,6,11,
From 30397 To 30427,106.9,271,8,3,6,
From 30427 To 30457,96.1,269,5,9,11,
From 30497 To 30527,113.8,344,9,13,11,
From 30527 To 30557,99.57,303,8,5,16,
From 30598 To 30628,122.87,277,5,7,6,
From 30628 To 30658,99.27,262,5,10,12,
From 30698 To 30728,103.93,289,7,12,7,
From 30729 To 30759,131.27,366,9,9,11,
From 30799 To 30829,106.47,239,8,7,5,
From 30870 To 30900,104.77,299,10,14,5,
From 30900 To 30930,102.17,364,9,16,10,
From 30971 To 31001,85.57,249,7,8,9,
From 31001 To 31031,114.3,350,10,10,7,
From 31072 To 31102,113.1,358,11,14,6,
From 31102 To 31132,134.03,330,5,13,4,
From 31173 To 31203,111.5,286,8,8,9,
From 31203 To 31233,129.63,326,10,9,8,
From 31274 To 31304,121.6,345,12,7,5,
From 31304 To 31334,120.87,292,16,7,4,
From 31375 To 31405,125.6,317,9,10,7,
From 31405 To 31435,119.97,329,13,11,2,
From 31476 To 31506,110.67,321,12,6,13,
From 31506 To 31536,99.03,310,9,12,9,
From 31576 To 31606,115.2,310,11,8,6,
From 31607 To 31637,110.47,306,6,9,8,
From 31677 To 31707,122.37,306,10,5,8,
From 31708 To 31738,113.0,327,6,11,13,
From 31778 To 31808,120.43,298,6,7,4,
From 31808 To 31838,123.37,303,7,10,6,
From 31879 To 31909,83.4,268,8,9,12,
From 31909 To 31939,90.3,309,8,11,9,
From 31979 To 32009,120.77,293,9,11,5,
From 32009 To 32039,123.63,314,7,10,11,
From 32080 To 32110,115.2,331,5,10,9,
From 32110 To 32140,104.23,320,18,5,10,
From 32181 To 32211,110.93,265,9,7,6,
From 32211 To 32241,122.13,330,8,6,13,
From 32282 To 32312,110.73,290,4,11,9,
From 32312 To 32342,121.23,324,11,8,5,
From 32382 To 32412,102.87,280,10,7,10,
From 32413 To 32443,107.5,274,3,8,3,
From 32484 To 32514,107.37,322,7,12,9,
From 32514 To 32544,104.6,290,12,7,9,
From 32585 To 32615,111.9,304,5,6,13,
From 32615 To 32645,114.23,314,8,8,13,
From 32686 To 32716,123.27,332,10,10,10,
From 32717 To 32747,108.83,296,8,9,7,
From 32787 To 32817,123.4,289,7,6,12,
From 32818 To 32848,115.33,293,6,10,9,
From 32888 To 32918,130.1,346,9,10,11,
From 32919 To 32949,118.43,295,5,6,6,
From 32990 To 33020,117.17,334,11,15,11,
From 33020 To 33050,88.43,264,9,10,8,
From 33090 To 33120,108.43,333,13,5,10,
From 33120 To 33150,113.17,301,11,8,9,
From 33190 To 33220,107.13,298,13,12,6,
From 33220 To 33250,110.13,291,7,6,13,
From 33290 To 33320,102.1,294,10,10,5,
From 33321 To 33351,112.97,311,8,6,10,
From 33391 To 33421,107.0,324,10,6,13,
From 33421 To 33451,121.53,325,12,5,11,
From 33491 To 33521,107.23,286,7,9,5,
From 33521 To 33551,120.37,299,10,9,5,
From 33591 To 33621,118.13,311,8,7,6,
From 33621 To 33651,120.4,313,7,10,13,
From 33691 To 33721,119.93,334,10,12,9,
From 33722 To 33752,129.73,317,7,7,13,
From 33792 To 33822,111.1,264,3,10,4,
From 33822 To 33852,117.83,323,5,13,7,
From 33892 To 33922,107.5,300,4,7,10,
From 33922 To 33952,94.03,273,8,11,7,
From 33992 To 34022,122.53,345,9,7,12,
From 34022 To 34052,91.93,297,8,8,15,
From 34092 To 34122,118.57,298,8,15,9,
From 34123 To 34153,115.8,266,4,7,5,
From 34193 To 34223,111.1,308,9,7,10,
From 34223 To 34253,145.73,349,7,10,11,
From 34294 To 34324,96.4,265,10,9,6,
From 34324 To 34354,127.8,337,6,10,11,
From 34395 To 34425,93.13,256,6,8,9,
From 34425 To 34455,100.4,327,12,7,14,
From 34496 To 34526,119.77,284,6,9,4,
From 34526 To 34556,118.47,309,11,10,8,
From 34597 To 34627,116.93,341,10,9,9,
From 34627 To 34657,95.33,248,8,6,10,
From 34697 To 34727,107.77,274,8,10,8,
From 34728 To 34758,123.57,352,8,8,15,
From 34798 To 34828,73.03,263,7,8,12,
From 34829 To 34859,119.7,345,11,7,11,
From 34899 To 34929,112.43,276,6,8,9,
From 34970 To 35000,108.63,337,6,13,6,
From 35002 To 35032,83.47,209,9,5,4,
From 35073 To 35103,87.97,251,11,6,8,
From 35104 To 35134,103.8,295,5,11,11,
From 35174 To 35204,130.3,290,6,11,5,
From 35205 To 35235,132.17,314,7,9,12,
From 35275 To 35305,84.5,275,12,7,9,
From 35306 To 35336,114.0,322,10,7,7,
From 35376 To 35406,109.7,289,12,9,11,
From 35407 To 35437,91.13,284,4,10,9,
From 35478 To 35508,99.97,268,8,6,12,
From 35508 To 35538,139.7,352,16,13,8,
From 35579 To 35609,94.37,279,8,6,7,
From 35610 To 35640,148.63,365,11,12,9,
From 35680 To 35710,98.97,251,8,10,6,
From 35710 To 35740,106.17,251,10,12,10,
