Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525718414 To 1525718444,86.97,632,55,
From 1525718444 To 1525718474,86.4,568,52,
From 1525718474 To 1525718504,95.23,504,64,
From 1525718504 To 1525718534,85.47,656,55,
From 1525718534 To 1525718564,87.57,676,54,
From 1525718564 To 1525718594,84.5,638,52,
From 1525718594 To 1525718624,84.93,666,62,
From 1525718625 To 1525718655,90.8,616,48,
From 1525718655 To 1525718685,92.97,565,56,
From 1525718685 To 1525718715,89.63,673,46,
From 1525718715 To 1525718745,84.67,658,50,
From 1525718745 To 1525718775,82.1,580,50,
From 1525718775 To 1525718805,84.93,609,44,
From 1525718805 To 1525718835,83.7,577,58,
From 1525718836 To 1525718866,83.03,598,64,
From 1525718866 To 1525718896,89.13,520,57,
From 1525718896 To 1525718926,87.63,648,44,
From 1525718926 To 1525718956,85.23,578,58,
From 1525718956 To 1525718986,83.87,552,39,
From 1525718986 To 1525719016,81.87,770,50,
From 1525719016 To 1525719046,90.53,550,51,
From 1525719047 To 1525719077,79.23,660,44,
From 1525719077 To 1525719107,88.27,746,53,
From 1525719107 To 1525719137,82.83,580,49,
From 1525719137 To 1525719167,91.9,704,53,
From 1525719167 To 1525719197,82.73,490,41,
From 1525719197 To 1525719227,76.4,518,43,
From 1525719227 To 1525719257,82.37,690,43,
From 1525719258 To 1525719288,91.07,742,51,
From 1525719288 To 1525719318,86.43,699,49,
From 1525719318 To 1525719348,88.63,449,54,
From 1525719348 To 1525719378,82.17,572,43,
From 1525719378 To 1525719408,87.53,588,56,
From 1525719408 To 1525719438,89.97,750,47,
From 1525719438 To 1525719468,85.43,726,47,
From 1525719469 To 1525719499,88.6,739,57,
From 1525719499 To 1525719529,82.4,617,46,
From 1525719529 To 1525719559,89.17,552,43,
From 1525719559 To 1525719589,84.07,479,59,
From 1525719589 To 1525719619,87.2,753,43,
From 1525719619 To 1525719649,73.47,622,45,
From 1525719649 To 1525719679,87.6,532,43,
From 1525719680 To 1525719710,81.2,688,57,
From 1525719710 To 1525719740,80.77,495,48,
From 1525719740 To 1525719770,80.83,549,42,
From 1525719770 To 1525719800,87.77,622,49,
