 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
121.67,4198,4120,1988,26905,66022,668,26905,668,1320,22772,22772,7348,85698,68316,26905,85698,22751,1320,668,113292
124.2,4195,4173,2129,26993,65918,720,26993,720,1409,22868,22868,7920,84443,68604,26993,84443,22924,1409,720,113633
134,4686,4594,2312,30124,73979,764,30124,764,1548,25502,25502,8404,95812,76506,30124,95812,25457,1548,764,126722
130.9,4565,4358,2088,28574,70455,680,28574,680,1408,24194,24194,7480,93279,72582,28574,93279,24186,1408,680,120357
126.67,4295,4269,2146,27690,67580,732,27690,729,1416,23451,23451,8019,86035,70352,27690,86035,23465,1416,729,116517
116.8,3726,3895,2002,25142,60499,668,25142,671,1332,21254,21254,7381,74591,63763,25142,74591,21279,1332,671,105616
120.9,4053,4131,1934,26677,65063,636,26677,636,1298,22557,22557,6996,81802,67671,26677,81801,22568,1298,636,112173
133.67,4649,4426,2257,29057,71122,759,29057,759,1498,24620,24620,8349,93452,73860,29057,93453,24568,1498,759,122362
128.7,4523,4362,2255,28530,70088,744,28530,744,1510,24155,24155,8184,91924,72465,28530,91924,24188,1510,744,119960
125.7,4157,4272,2161,27642,67152,726,27642,726,1435,23368,23368,7986,84256,70104,27642,84256,23393,1435,726,116091
124.83,4448,4159,2029,27288,67384,678,27288,677,1353,23135,23135,7447,89162,69405,27288,89162,23095,1353,677,114936
121.97,4234,4330,2247,28053,68173,762,28053,763,1484,23711,23711,8393,86360,71133,28053,86360,23745,1484,763,117852
129.1,4366,4379,2171,28535,69519,703,28535,703,1467,24138,24138,7733,88624,72414,28535,88620,24126,1467,703,119950
122.6,4265,4143,2070,27146,66692,686,27146,686,1385,22976,22976,7546,86985,68928,27146,86989,22991,1385,686,114271
126.1,4206,4325,2162,27813,67607,716,27813,716,1446,23560,23560,7876,84966,70680,27813,84966,23472,1446,716,116933
134.43,4589,4562,2176,29566,72101,731,29566,731,1445,24993,24993,8041,91774,74979,29566,91774,25060,1445,731,124339
124.63,4326,4315,2204,28131,68525,745,28131,745,1459,23815,23815,8195,87131,71445,28131,87131,23806,1459,745,118291
131.5,4344,4460,2330,29055,69821,781,29055,781,1549,24560,24560,8591,86773,73680,29055,86773,24576,1549,781,122042
113.73,3830,3813,1917,24674,60538,637,24674,636,1280,20900,20900,6996,77802,62700,24674,77802,20877,1280,636,103781
114.53,3848,3944,1945,25475,61939,661,25475,662,1284,21525,21525,7282,78195,64575,25475,78195,21535,1284,662,107028
122.13,4317,4224,2119,27636,67408,708,27636,705,1411,23412,23412,7755,86627,70236,27636,86627,23383,1411,705,116320
126.73,4359,4222,2064,27654,68087,671,27654,673,1394,23421,23421,7403,88969,70263,27654,88969,23405,1394,673,116446
116.77,3880,4042,2023,25949,63031,675,25949,676,1347,21917,21917,7436,79570,65751,25949,79570,21964,1347,676,108991
119.4,4045,3982,1948,26011,63831,639,26011,637,1311,22029,22029,7007,82467,66087,26011,82467,22000,1311,637,109459
110,3773,3737,1848,24388,59011,619,24388,621,1227,20635,20635,6831,74738,61905,24388,74738,20613,1227,621,102638
122.2,4091,4177,2120,26962,65733,700,26962,699,1421,22815,22815,7689,82769,68445,26962,82769,22855,1421,699,113351
125.77,4157,4287,2110,27737,67083,687,27737,686,1424,23459,23459,7546,83082,70377,27737,83082,23462,1424,686,116499
132.87,4481,4478,2277,29184,70921,745,29184,747,1528,24697,24697,8217,91125,74091,29184,91125,24643,1528,747,122719
124.03,4297,4190,2086,27413,67370,671,27413,671,1417,23211,23211,7381,87475,69633,27413,87475,23290,1417,671,115381
131.13,4467,4597,2288,29757,72099,759,29757,759,1528,25153,25153,8349,90657,75459,29757,90657,25119,1528,759,125056
127.77,4438,4289,2091,27944,68979,690,27944,688,1403,23688,23688,7568,89911,71064,27944,89911,23677,1403,688,117704
132.03,4380,4507,2334,29125,70515,790,29125,790,1543,24616,24616,8690,89246,73848,29125,89244,24631,1543,790,122234
135.47,4719,4471,2369,29537,72750,804,29537,806,1565,25035,25035,8866,95708,75105,29537,95710,25064,1565,806,124402
120.77,4095,4197,1987,26902,65008,650,26902,650,1336,22729,22729,7150,81202,68187,26902,81202,22671,1336,650,112902
115.73,3994,3845,1912,25256,62081,632,25256,632,1281,21402,21402,6952,80551,64206,25256,80551,21433,1281,632,106371
113.7,3887,3776,1915,24659,60924,634,24659,634,1281,20886,20886,6974,79891,62658,24659,79891,20897,1281,634,103778
127.33,4423,4301,2141,28015,68781,719,28015,719,1421,23722,23722,7909,90140,71166,28015,90140,23639,1421,719,117883
123.47,4215,4151,2116,27204,66310,710,27204,710,1407,23010,23010,7810,85051,69030,27204,85051,23080,1407,710,114433
121.23,4172,4314,2160,27641,66597,731,27641,731,1429,23372,23372,8041,83563,70116,27641,83563,23308,1429,731,116098
