Period,CPUAvg,Person:608,Person:319,PersonAttribute:111,Format:45,Person:601,Encounter:381,Person:317,Format:49,Person:314,Person:599,Person:593,Person:606,Patient:52,Person:597
From 1533225223 to 1533225252,68.13,128,176,382,0,1008,11,176,0,214,1136,1136,128,62,1136
From 1533225253 to 1533225282,51.7,122,153,292,0,694,37,153,0,184,816,817,122,51,816
From 1533225283 to 1533225313,54.27,90,161,331,1,836,47,161,1,196,926,927,90,74,926
From 1533225314 to 1533225343,59.2,100,145,345,0,673,26,145,0,175,773,774,100,81,773
From 1533225344 to 1533225373,67.2,130,185,322,0,900,18,185,0,217,1030,1030,130,73,1030
From 1533225374 to 1533225403,53.7,130,134,344,1,624,21,134,1,164,754,755,130,59,754
From 1533225404 to 1533225433,56.03,100,153,313,0,891,33,153,0,188,991,991,100,71,991
From 1533225434 to 1533225463,59.4,128,144,383,0,702,15,144,0,180,830,830,128,58,830
From 1533225464 to 1533225494,52.73,114,163,296,0,821,19,163,0,193,935,936,114,43,935
From 1533225495 to 1533225524,63.93,154,166,318,0,783,18,166,0,203,937,938,154,87,937
From 1533225525 to 1533225554,66.63,124,216,361,0,867,18,216,0,235,991,994,124,67,991
From 1533225555 to 1533225584,51.53,100,141,304,0,721,11,141,0,168,821,821,100,35,821
From 1533225585 to 1533225614,57.8,84,144,310,0,812,41,144,0,185,896,896,84,92,896
From 1533225615 to 1533225644,66.47,104,161,364,0,737,25,161,0,193,841,841,104,89,841
From 1533225645 to 1533225674,42.03,78,94,219,0,584,10,94,0,118,662,663,78,43,662
From 1533225675 to 1533225705,54.1,128,146,276,0,716,32,146,0,185,844,845,128,74,844
From 1533225706 to 1533225735,73.27,140,188,494,0,1058,27,188,0,228,1198,1198,140,83,1198
From 1533225736 to 1533225765,49.1,136,116,352,0,657,10,116,0,142,793,793,136,22,793
From 1533225766 to 1533225795,52.1,104,135,236,0,627,23,135,0,168,731,732,104,65,731
From 1533225796 to 1533225825,56.8,182,144,331,0,736,27,144,0,182,918,919,182,72,918
From 1533225826 to 1533225855,71.1,186,209,392,0,869,16,209,0,234,1055,1056,186,67,1055
From 1533225856 to 1533225885,43.83,64,115,180,0,531,15,115,0,146,595,595,64,41,595
From 1533225886 to 1533225916,63.93,148,185,425,0,974,43,185,0,228,1122,1122,148,74,1122
From 1533225917 to 1533225946,63.43,142,166,398,0,832,20,166,0,192,974,975,142,70,974
From 1533225947 to 1533225976,54.27,78,140,232,0,638,23,140,0,171,716,717,78,74,716
From 1533225977 to 1533226006,63.47,124,138,500,0,783,21,138,0,174,907,907,124,69,907
From 1533226007 to 1533226036,60.57,128,158,314,0,746,29,158,0,189,874,875,128,77,874
