Period, CPUAvg, person,concept,obs,encounter,
From 142788 To 142818,75.37,943,29,35,32,
From 142818 To 142848,85.83,1044,23,31,36,
From 142889 To 142919,84.03,1038,26,34,30,
From 142919 To 142949,88.33,1081,36,34,25,
From 142989 To 143019,93.33,1093,21,29,32,
From 143019 To 143049,84.0,1012,26,28,28,
From 143089 To 143119,83.9,1063,27,34,29,
From 143119 To 143149,87.0,1032,28,40,31,
From 143189 To 143219,86.43,1070,35,30,32,
From 143219 To 143249,83.97,1039,44,27,29,
From 143290 To 143320,83.53,1078,31,32,39,
From 143320 To 143350,83.5,1036,34,30,35,
From 143390 To 143420,82.63,1000,25,30,28,
