Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525974849 To 1525974879,87.47,447,19,
From 1525974879 To 1525974909,87.97,344,33,
From 1525974909 To 1525974939,80.43,314,23,
From 1525974939 To 1525974969,85.67,308,25,
From 1525974970 To 1525975000,82.27,368,31,
From 1525975000 To 1525975030,88.83,426,28,
From 1525975030 To 1525975060,88.47,323,26,
From 1525975060 To 1525975090,86.7,251,33,
From 1525975090 To 1525975120,86.6,280,31,
From 1525975120 To 1525975150,90.83,398,35,
From 1525975150 To 1525975180,82.53,251,32,
From 1525975180 To 1525975210,87.03,333,24,
From 1525975211 To 1525975241,85.2,402,29,
From 1525975241 To 1525975271,84.73,430,20,
From 1525975271 To 1525975301,75.57,268,27,
From 1525975301 To 1525975331,76.63,416,22,
From 1525975331 To 1525975361,91.73,414,29,
From 1525975361 To 1525975391,80.67,372,34,
From 1525975391 To 1525975421,90.83,280,30,
From 1525975422 To 1525975452,83.87,350,31,
From 1525975452 To 1525975482,88.2,318,32,
From 1525975482 To 1525975512,78.43,276,31,
From 1525975512 To 1525975542,84.87,326,35,
From 1525975542 To 1525975572,89.3,370,39,
From 1525975572 To 1525975602,86.43,366,24,
From 1525975602 To 1525975632,85.5,302,28,
From 1525975633 To 1525975663,81.87,400,30,
From 1525975663 To 1525975693,87.1,326,33,
From 1525975693 To 1525975723,86.87,305,36,
From 1525975723 To 1525975753,76.13,239,26,
From 1525975753 To 1525975783,77.97,382,24,
From 1525975783 To 1525975813,92.57,386,38,
From 1525975813 To 1525975843,80.4,265,37,
From 1525975844 To 1525975874,92.43,241,32,
From 1525975874 To 1525975904,86.63,294,26,
From 1525975904 To 1525975934,82.9,270,27,
From 1525975934 To 1525975964,80.2,390,29,
From 1525975964 To 1525975994,84.13,296,21,
From 1525975994 To 1525976024,84.47,402,23,
From 1525976024 To 1525976054,84.7,216,27,
From 1525976054 To 1525976084,90.63,400,27,
From 1525976085 To 1525976115,89.33,282,41,
From 1525976115 To 1525976145,89.03,408,24,
From 1525976145 To 1525976175,87.07,368,32,
From 1525976175 To 1525976205,93.87,324,26,
From 1525976205 To 1525976235,76.97,382,37,
From 1525976235 To 1525976265,85.2,355,28,
From 1525976265 To 1525976295,79.17,289,35,
From 1525976296 To 1525976326,86.8,318,25,
